set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,chalk,pen,1,-0.057629112836636416,0.944,0.944
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,crayons,chalk,0,-0.3092462503676215,0.266,0.734
3,500,bag,chalk,pen,1,-0.057629112836636416,0.944,0.944
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,crayons,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,pen,makeup,0,-0.01005033585350145,0.01,0.99
3,500,bag,headphones,pen,1,0.0,1.0,1.0
3,500,bag,headphones,pen,1,0.0,1.0,1.0
3,500,bag,chalk,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,crayons,makeup,0,-0.053400776727115296,0.052,0.948
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,headphones,pen,1,0.0,1.0,1.0
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,pen,makeup,0,-0.01005033585350145,0.01,0.99
3,500,bag,chalk,crayons,1,-0.3092462503676215,0.734,0.734
3,500,bag,chalk,makeup,0,-0.13238918804574562,0.124,0.876
3,500,bag,makeup,chalk,1,-0.13238918804574562,0.876,0.876
3,500,bag,pen,headphones,0,0.0,0.0,1.0
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,chalk,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,chalk,pen,1,-0.057629112836636416,0.944,0.944
3,500,bag,chalk,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,crayons,makeup,0,-0.053400776727115296,0.052,0.948
3,500,bag,headphones,crayons,1,-0.006018072325563021,0.994,0.994
3,500,bag,crayons,pen,1,-0.15548490284039498,0.856,0.856
3,500,bag,chalk,crayons,1,-0.3092462503676215,0.734,0.734
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,crayons,pen,1,-0.15548490284039498,0.856,0.856
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,makeup,headphones,0,-0.057629112836636416,0.056,0.944
3,500,bag,pen,chalk,0,-0.057629112836636416,0.056,0.944
3,500,bag,makeup,chalk,1,-0.13238918804574562,0.876,0.876
3,500,bag,chalk,pen,1,-0.057629112836636416,0.944,0.944
3,500,bag,headphones,chalk,0,-4.828313737302301,0.992,0.008000000000000007
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,makeup,headphones,0,-0.057629112836636416,0.056,0.944
3,500,bag,pen,headphones,0,0.0,0.0,1.0
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,chalk,makeup,0,-0.13238918804574562,0.124,0.876
3,500,bag,chalk,makeup,0,-0.13238918804574562,0.124,0.876
3,500,bag,makeup,pen,1,-0.01005033585350145,0.99,0.99
3,500,bag,pen,crayons,0,-0.15548490284039498,0.144,0.856
3,500,bag,headphones,makeup,1,-0.057629112836636416,0.944,0.944
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,chalk,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,chalk,crayons,1,-0.3092462503676215,0.734,0.734
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,headphones,chalk,1,-0.008032171697264267,0.992,0.992
3,500,bag,crayons,pen,1,-0.15548490284039498,0.856,0.856
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,makeup,headphones,0,-0.057629112836636416,0.056,0.944
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,headphones,makeup,1,-0.057629112836636416,0.944,0.944
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,crayons,makeup,0,-0.053400776727115296,0.052,0.948
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,headphones,makeup,1,-0.057629112836636416,0.944,0.944
3,500,bag,pen,makeup,0,-0.01005033585350145,0.01,0.99
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,headphones,pen,1,0.0,1.0,1.0
3,500,bag,chalk,headphones,1,-4.8283137373023015,0.008,0.008
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,makeup,pen,1,-0.01005033585350145,0.99,0.99
3,500,bag,chalk,crayons,1,-0.3092462503676215,0.734,0.734
3,500,bag,pen,headphones,0,0.0,0.0,1.0
3,500,bag,pen,crayons,0,-0.15548490284039498,0.144,0.856
3,500,bag,pen,chalk,0,-0.057629112836636416,0.056,0.944
3,500,bag,chalk,crayons,1,-0.3092462503676215,0.734,0.734
3,500,bag,makeup,crayons,1,-0.053400776727115296,0.948,0.948
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,crayons,pen,1,-0.15548490284039498,0.856,0.856
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,pen,makeup,1,-4.605170185988091,0.01,0.01
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,chalk,crayons,1,-0.3092462503676215,0.734,0.734
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,headphones,pen,1,0.0,1.0,1.0
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,crayons,headphones,1,-5.115995809754082,0.006,0.006
3,500,bag,crayons,makeup,0,-0.053400776727115296,0.052,0.948
3,500,bag,pen,chalk,0,-0.057629112836636416,0.056,0.944
3,500,bag,headphones,makeup,1,-0.057629112836636416,0.944,0.944
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,headphones,chalk,1,-0.008032171697264267,0.992,0.992
3,500,bag,pen,headphones,0,0.0,0.0,1.0
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,makeup,crayons,1,-0.053400776727115296,0.948,0.948
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,headphones,chalk,0,-4.828313737302301,0.992,0.008000000000000007
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,chalk,pen,1,-0.057629112836636416,0.944,0.944
3,500,bag,chalk,makeup,0,-0.13238918804574562,0.124,0.876
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,pen,makeup,0,-0.01005033585350145,0.01,0.99
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,crayons,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,makeup,headphones,0,-0.057629112836636416,0.056,0.944
3,500,bag,pen,makeup,0,-0.01005033585350145,0.01,0.99
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,crayons,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,headphones,crayons,1,-0.006018072325563021,0.994,0.994
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,crayons,chalk,0,-0.3092462503676215,0.266,0.734
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,pen,chalk,1,-2.8824035882469876,0.056,0.056
3,500,bag,crayons,makeup,0,-0.053400776727115296,0.052,0.948
3,500,bag,pen,crayons,1,-1.9379419794061366,0.144,0.144
3,500,bag,headphones,chalk,0,-4.828313737302301,0.992,0.008000000000000007
3,500,bag,pen,headphones,0,0.0,0.0,1.0
3,500,bag,headphones,crayons,1,-0.006018072325563021,0.994,0.994
3,500,bag,chalk,makeup,1,-2.0874737133771,0.124,0.124
3,500,bag,makeup,pen,1,-0.01005033585350145,0.99,0.99
3,500,bakery,pretzels,muffins,1,-0.6500876910994983,0.522,0.522
3,500,bakery,muffins,pretzels,0,-0.6500876910994983,0.478,0.522
3,500,bakery,muffins,sandwiches,0,-0.13696585507315742,0.128,0.872
3,500,bakery,cakes,muffins,1,-3.3242363405260273,0.036,0.036
3,500,bakery,cakes,ice cream,1,-0.9063404010209869,0.404,0.404
3,500,bakery,ice cream,muffins,1,-2.659260036932778,0.07,0.07
3,500,bakery,ice cream,cakes,1,-0.5175146119167874,0.596,0.596
3,500,bakery,water,sandwiches,0,-0.33128570993391293,0.282,0.718
