NextWordPredictionModelRaw,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood
qwen,set,bag,1440,10,-1.270305856358074
qwen,set,bakery,2130,10,-1.1913780323006349
qwen,set,beach,2130,10,-1.753800444703521
qwen,set,cold,920,10,-4.5237159902935336
qwen,set,cut,2130,10,-1.3520755295463285
qwen,set,fridge,2130,10,-0.7908192665552906
qwen,set,gym,1380,10,-1.5686162576417548
qwen,set,hot,2130,10,-1.946351365880046
qwen,set,mask,1430,10,-2.519075196218036
qwen,set,meat,1460,10,-1.3474776120520373
qwen,set,restaurant,2130,10,-1.3699391216727497
qwen,set,salad,1400,10,-2.462559099961858
qwen,set,science,2130,10,-2.470293475964968
qwen,set,throw,1380,10,-2.5369637968892533
qwen,set,transport,960,10,-1.4976850152198409
qwen,ordering,bag,1440,10,-1.2650019182394228
qwen,ordering,bakery,2130,10,-0.9954052221858749
qwen,ordering,beach,2130,10,-0.9284678826108606
qwen,ordering,cold,920,10,-5.460319846230466
qwen,ordering,cut,2130,10,-1.6514278744383202
qwen,ordering,fridge,2130,10,-1.128610366874072
qwen,ordering,gym,1380,10,-1.9529001457094652
qwen,ordering,hot,2130,10,-1.3756333789099064
qwen,ordering,mask,1430,10,-1.1761625293387183
qwen,ordering,meat,1460,10,-1.8616005549869696
qwen,ordering,restaurant,2130,10,-0.6410951563547223
qwen,ordering,salad,1400,10,-2.784553439807434
qwen,ordering,science,2130,10,-1.785980759727939
qwen,ordering,throw,1380,10,-5.43246717211339
qwen,ordering,transport,960,10,-6.546770727855173
qwen,conjunction,bag,1440,10,-1.1337357939819164
qwen,conjunction,bakery,2130,10,-1.3415291904446407
qwen,conjunction,beach,2130,10,-0.9404812356507619
qwen,conjunction,cold,920,10,-5.7634844793751165
qwen,conjunction,cut,2130,10,-1.5330666780840487
qwen,conjunction,fridge,2130,10,-1.1924607131526348
qwen,conjunction,gym,1380,10,-2.1923223160265457
qwen,conjunction,hot,2130,10,-1.1283939377434453
qwen,conjunction,mask,1430,10,-2.530796998506047
qwen,conjunction,meat,1460,10,-2.1900705101630726
qwen,conjunction,restaurant,2130,10,-1.2938902256867602
qwen,conjunction,salad,1400,10,-3.3926411714725306
qwen,conjunction,science,2130,10,-2.983783168088249
qwen,conjunction,throw,1380,10,-6.2538646910133835
qwen,conjunction,transport,960,10,-1.8384657990573128
qwen,disjunction,bag,1440,10,-1.6853151860857662
qwen,disjunction,bakery,2130,10,-0.9098535160262541
qwen,disjunction,beach,2130,10,-1.9267629584316956
qwen,disjunction,cold,920,10,-4.265265977653285
qwen,disjunction,cut,2130,10,-1.5434006854718085
qwen,disjunction,fridge,2130,10,-0.7449851922973763
qwen,disjunction,gym,1380,10,-1.3496034022467038
qwen,disjunction,hot,2130,10,-2.3123470847353103
qwen,disjunction,mask,1430,10,-1.1731131706167086
qwen,disjunction,meat,1460,10,-1.058628427508384
qwen,disjunction,restaurant,2130,10,-0.8056751850935623
qwen,disjunction,salad,1400,10,-1.8758117214352263
qwen,disjunction,science,2130,10,-1.2969378266912013
qwen,disjunction,throw,1380,10,-1.747387908674692
qwen,disjunction,transport,960,10,-7.080233818213146
