NextWordPredictionModelRaw,AlternativeStructure,context,trigger,query,model_negation_probability,observed_rows,observed_boundaries,human_negation_probability,human_trial_count
qwen,set,bag,chalk,crayons,0.8604,60,10,1.0,6
qwen,set,bag,chalk,headphones,0.0456,50,10,0.2,5
qwen,set,bag,chalk,makeup,0.4536,50,10,0.2,5
qwen,set,bag,chalk,pen,0.9723999999999999,50,10,1.0,5
qwen,set,bag,crayons,chalk,0.7754,180,10,0.8888888888888888,18
qwen,set,bag,crayons,headphones,0.0456,40,10,0.25,4
qwen,set,bag,crayons,makeup,0.4536,50,10,0.0,5
qwen,set,bag,crayons,pen,0.9724,40,10,1.0,4
qwen,set,bag,headphones,chalk,0.7753999999999999,50,10,0.4,5
qwen,set,bag,headphones,crayons,0.8604,30,10,1.0,3
qwen,set,bag,headphones,makeup,0.4536,190,10,0.21052631578947367,19
qwen,set,bag,headphones,pen,0.9723999999999999,50,10,1.0,5
qwen,set,bag,makeup,chalk,0.7754,20,10,1.0,2
qwen,set,bag,makeup,crayons,0.8603999999999999,20,10,1.0,2
qwen,set,bag,makeup,headphones,0.0456,40,10,0.0,4
qwen,set,bag,makeup,pen,0.9724,30,10,1.0,3
qwen,set,bag,pen,chalk,0.7754,210,10,0.8571428571428571,21
qwen,set,bag,pen,crayons,0.8604,170,10,0.8823529411764706,17
qwen,set,bag,pen,headphones,0.0456,50,10,0.0,5
qwen,set,bag,pen,makeup,0.4536,60,10,0.16666666666666666,6
qwen,set,bakery,cakes,ice cream,0.8126,190,10,0.8421052631578947,19
qwen,set,bakery,cakes,muffins,0.22960000000000003,180,10,0.8888888888888888,18
qwen,set,bakery,cakes,pretzels,0.19119999999999998,60,10,0.5,6
qwen,set,bakery,cakes,sandwiches,0.0388,50,10,0.4,5
qwen,set,bakery,cakes,water,0.11539999999999999,50,10,0.0,5
qwen,set,bakery,ice cream,cakes,0.8726,50,10,1.0,5
qwen,set,bakery,ice cream,muffins,0.22960000000000003,170,10,0.5882352941176471,17
qwen,set,bakery,ice cream,pretzels,0.19119999999999998,20,10,0.5,2
qwen,set,bakery,ice cream,sandwiches,0.0388,40,10,0.25,4
qwen,set,bakery,ice cream,water,0.1154,60,10,0.16666666666666666,6
qwen,set,bakery,muffins,cakes,0.8726,50,10,1.0,5
qwen,set,bakery,muffins,ice cream,0.8126,20,10,1.0,2
qwen,set,bakery,muffins,pretzels,0.1912,50,10,0.4,5
qwen,set,bakery,muffins,sandwiches,0.0388,20,10,0.0,2
qwen,set,bakery,muffins,water,0.11539999999999999,50,10,0.0,5
qwen,set,bakery,pretzels,cakes,0.8726,50,10,1.0,5
qwen,set,bakery,pretzels,ice cream,0.8126000000000001,50,10,1.0,5
qwen,set,bakery,pretzels,muffins,0.2296,30,10,1.0,3
qwen,set,bakery,pretzels,sandwiches,0.0388,50,10,0.4,5
qwen,set,bakery,pretzels,water,0.11539999999999999,40,10,0.0,4
qwen,set,bakery,sandwiches,cakes,0.8726,30,10,1.0,3
qwen,set,bakery,sandwiches,ice cream,0.8126000000000001,50,10,1.0,5
qwen,set,bakery,sandwiches,muffins,0.2296,30,10,0.6666666666666666,3
qwen,set,bakery,sandwiches,pretzels,0.1912,200,10,0.55,20
qwen,set,bakery,sandwiches,water,0.11539999999999999,50,10,0.0,5
qwen,set,bakery,water,cakes,0.8726,30,10,0.6666666666666666,3
qwen,set,bakery,water,ice cream,0.8126,60,10,0.6666666666666666,6
qwen,set,bakery,water,muffins,0.2296,60,10,0.5,6
qwen,set,bakery,water,pretzels,0.1912,130,10,0.5384615384615384,13
qwen,set,bakery,water,sandwiches,0.0388,210,10,0.42857142857142855,21
qwen,set,beach,bikini,coat,0.0944,30,10,0.3333333333333333,3
qwen,set,beach,bikini,jacket,0.25880000000000003,40,10,0.25,4
qwen,set,beach,bikini,jeans,0.6814,60,10,0.5,6
qwen,set,beach,bikini,shorts,0.9652,200,10,0.7,20
qwen,set,beach,bikini,sunglasses,0.5684,180,10,0.16666666666666666,18
qwen,set,beach,coat,bikini,0.6602,60,10,1.0,6
qwen,set,beach,coat,jacket,0.2588,110,10,0.5454545454545454,11
qwen,set,beach,coat,jeans,0.6814,160,10,0.5,16
qwen,set,beach,coat,shorts,0.9652,50,10,1.0,5
qwen,set,beach,coat,sunglasses,0.5684,30,10,0.0,3
qwen,set,beach,jacket,bikini,0.6602,20,10,1.0,2
qwen,set,beach,jacket,coat,0.0944,30,10,1.0,3
qwen,set,beach,jacket,jeans,0.6814,200,10,0.45,20
qwen,set,beach,jacket,shorts,0.9652,50,10,0.6,5
qwen,set,beach,jacket,sunglasses,0.5684,40,10,0.5,4
qwen,set,beach,jeans,bikini,0.6602,50,10,1.0,5
qwen,set,beach,jeans,coat,0.0944,50,10,0.6,5
qwen,set,beach,jeans,jacket,0.25880000000000003,60,10,0.0,6
qwen,set,beach,jeans,shorts,0.9652,50,10,1.0,5
qwen,set,beach,jeans,sunglasses,0.5684,40,10,0.25,4
qwen,set,beach,shorts,bikini,0.6602,40,10,0.75,4
