set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,chalk,pen,1,-0.3065251602532608,0.736,0.736
3,500,bag,crayons,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,pen,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,crayons,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,pen,crayons,1,-1.8451602459551701,0.158,0.158
3,500,bag,crayons,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,crayons,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,crayons,chalk,0,-0.06613980250454507,0.064,0.9359999999999999
3,500,bag,chalk,pen,1,-0.3065251602532608,0.736,0.736
3,500,bag,pen,crayons,1,-1.8451602459551701,0.158,0.158
3,500,bag,pen,crayons,1,-1.8451602459551701,0.158,0.158
3,500,bag,crayons,headphones,0,0.0,0.0,1.0
3,500,bag,pen,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,headphones,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,pen,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,headphones,pen,1,-0.3065251602532608,0.736,0.736
3,500,bag,headphones,pen,1,-0.3065251602532608,0.736,0.736
3,500,bag,chalk,headphones,0,0.0,0.0,1.0
3,500,bag,crayons,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,pen,crayons,1,-1.8451602459551701,0.158,0.158
3,500,bag,headphones,pen,1,-0.3065251602532608,0.736,0.736
3,500,bag,headphones,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,pen,crayons,1,-1.8451602459551701,0.158,0.158
3,500,bag,pen,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,chalk,crayons,1,-1.8451602459551701,0.158,0.158
3,500,bag,chalk,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,makeup,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,pen,headphones,0,0.0,0.0,1.0
3,500,bag,pen,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,chalk,headphones,0,0.0,0.0,1.0
3,500,bag,chalk,pen,1,-0.3065251602532608,0.736,0.736
3,500,bag,chalk,headphones,0,0.0,0.0,1.0
3,500,bag,headphones,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,crayons,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,headphones,crayons,1,-1.8451602459551701,0.158,0.158
3,500,bag,crayons,pen,1,-0.3065251602532608,0.736,0.736
3,500,bag,chalk,crayons,1,-1.8451602459551701,0.158,0.158
3,500,bag,crayons,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,crayons,pen,1,-0.3065251602532608,0.736,0.736
3,500,bag,pen,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,headphones,makeup,0,-0.004008021397538822,0.004,0.996
3,500,bag,makeup,headphones,0,0.0,0.0,1.0
3,500,bag,pen,chalk,0,-0.06613980250454507,0.064,0.9359999999999999
3,500,bag,makeup,chalk,1,-2.7488721956224653,0.064,0.064
3,500,bag,chalk,pen,1,-0.3065251602532608,0.736,0.736
3,500,bag,headphones,chalk,0,-0.06613980250454507,0.064,0.9359999999999999
