condition,context,,word,counts,ix_mean,ix_std
FALSE,bakery,0,bread,35,1.085714286,0.373491363
FALSE,bakery,1,coffee,10,2.2,0.788810638
FALSE,bakery,2,bagels,10,2.1,0.567646212
FALSE,bakery,3,muffins,6,2.5,0.547722558
FALSE,bakery,4,rolls,6,2,0.632455532
FALSE,bakery,5,pizza,5,2.8,0.447213595
FALSE,bakery,6,water,4,2.25,0.5
FALSE,bakery,7,sandwiches,4,1.75,0.5
FALSE,bakery,8,biscuits,4,2.75,0.5
FALSE,bakery,9,croissants,3,1.666666667,1.154700538
FALSE,bakery,10,croissant,2,1,0
FALSE,bakery,11,sandwich,2,2,0
FALSE,bakery,12,soda,2,3,0
FALSE,bakery,13,crackers,2,3,0
FALSE,bakery,14,pretzels,2,2.5,0.707106781
FALSE,bakery,15,flatbread,2,2,1.414213562
FALSE,bakery,16,cheese,2,2.5,0.707106781
FALSE,bakery,17,tea,1,2,0
FALSE,bakery,18,sugar,1,2,0
FALSE,bakery,19,chickenpie,1,2,0
FALSE,bakery,20,eggs,1,3,0
FALSE,bakery,21,hotchocolate,1,3,0
FALSE,bakery,22,ryebread,1,2,0
FALSE,bakery,23,crossants,1,3,0
FALSE,bakery,24,focaccia,1,3,0
FALSE,bakery,25,cinamonrolls,1,3,0
FALSE,bakery,26,salad,1,3,0
FALSE,bakery,27,garlicbread,1,2,0
FALSE,bakery,28,orangejuice,1,3,0
FALSE,bakery,29,chicken,1,3,0
FALSE,bakery,30,toast,1,3,0
FALSE,bakery,31,potatochips,1,3,0
FALSE,bakery,32,coffee/tea,1,2,0
FALSE,bakery,33,pastries,1,2,0
FALSE,bakery,34,meat,1,1,0
FALSE,bakery,35,smoothies,1,2,0
FALSE,bakery,36,croisants,1,3,0
FALSE,bakery,37,sourdough,1,2,0
FALSE,bakery,38,whitebread,1,3,0
FALSE,bakery,39,cabbagepie,1,2,0
FALSE,bakery,40,pizzacrusts,1,3,0
FALSE,bakery,41,breadsticks,1,3,0
FALSE,bakery,42,biscottis,1,3,0
FALSE,bakery,43,pizzacrust,1,2,0
FALSE,bakery,44,fruit,1,1,0
FALSE,bakery,45,scones,1,1,0
FALSE,bakery,46,donuts,1,2,0
FALSE,bakery,47,bakingpans,1,3,0
FALSE,closet,0,shoes,15,2.266666667,0.798808637
FALSE,closet,1,coat,13,1.461538462,0.776250026
FALSE,closet,2,pants,13,2.076923077,0.862316499
FALSE,closet,3,suit,8,1.625,0.51754917
FALSE,closet,4,boots,6,1.833333333,0.98319208
FALSE,closet,5,jeans,6,1.833333333,0.752772653
FALSE,closet,6,jacket,4,1.5,0.577350269
FALSE,closet,7,scarf,4,1.75,0.5
FALSE,closet,8,ties,3,2.333333333,0.577350269
FALSE,closet,9,toys,3,2.333333333,0.577350269
FALSE,closet,10,hangers,3,2.666666667,0.577350269
FALSE,closet,11,shirt,3,2.333333333,1.154700538
FALSE,closet,12,sweater,3,2.333333333,1.154700538
FALSE,closet,13,shirts,3,2.333333333,1.154700538
FALSE,closet,14,gloves,3,2.666666667,0.577350269
FALSE,closet,15,socks,2,2.5,0.707106781
FALSE,closet,16,coats,2,1.5,0.707106781
FALSE,closet,17,belt,2,3,0
FALSE,closet,18,dresses,2,2,1.414213562
FALSE,closet,19,hats,2,2,0
FALSE,closet,20,workclothes,2,2,1.414213562
FALSE,closet,21,hat,2,2,0
FALSE,closet,22,dressshirt,2,2,0
FALSE,closet,23,dress,2,1,0
