ip,duration,positive,id,Xs,Exclude,relax_1,relax_2,relax_3,relax_4,relax_5,relax_6,relax_time,awake_1,awake_2,awake_3,awake_4,awake_5,awake_6,awake_time,hot_1,hot_2,hot_3,hot_4,hot_5,hot_6,hot_time,cold_1,cold_2,cold_3,cold_4,cold_5,cold_6,cold_time,pay_1,pay_2,pay_3,pay_4,pay_5,pay_6,pay_time,pet_1,pet_2,pet_3,pet_4,pet_5,pet_6,pet_time,transport_1,transport_2,transport_3,transport_4,transport_5,transport_6,transport_time,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_time,fire_1,fire_2,fire_3,fire_4,fire_5,fire_6,fire_time,light_1,light_2,light_3,light_4,light_5,light_6,light_time,cut_1,cut_2,cut_3,cut_4,cut_5,cut_6,cut_time,stick_1,stick_2,stick_3,stick_4,stick_5,stick_6,stick_time,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_time,mask_1,mask_2,mask_3,mask_4,mask_5,mask_6,mask_time,meat_1,meat_2,meat_3,meat_4,meat_5,meat_6,meat_time
68.119.43.1,926,FALSE,A3FOKP72T5I4FR,0,,DOG,CAT,roommate,FRIDGE,DRYER,WASHER,34,TV,WASHER,DRYER,FRIDGE,MICROWAVE,SHOWER,24,FURNACE,TV,SOFA,WASHER,DRYER,HEATER,25,SOFA,CHAIR,BED,TV,PLAYSTATION,HEADPHONES,28,CLOTHES,PHONE,PEN,PAPER,KEYS,MINTS,21,DOG FOOD,CAT FOOD,CAT SCRATCHER,DOG HOUSE,AQUARIUM,BIRD SEED,36,HAMMER,WOOD,NAILS,CABINET,WASHER,DRYER,34,CUP,BOWL,WIRES,DOG FOOD,PLATES,CHIPS,419,FOOD,DISHES,MICROWAVE,PAPER,TRASH,CLEANING SUPPLIES,28,BILLS,COINS,LINT,NOTHING,HAIRTIE,WALLET,45,PENCILS,PENS,PAPER,CHARGER,COINS,LIPSTICK,28,BED,TV,SHOWER,WINDOW,PAPER,BOOKS,21,GAMES,CALENDAR,CLOCK,GP TRACKING,BANKING INFO,WORK,66,WALLET,SUNGLASSES,COINS,MONEY,PEN,KEYS,24,NOODLES,VEGETABLES,CURRY,PLATES,WORKERS,SILERWARE,27.617
47.224.50.72,1074,FALSE,AUFUUD4WG9CVO,0,,tabl,chair,milk,telescop,hamper,weight,44,couch,dvd player,tv,milk,dog,bed,33,blanket,fireplac,fishing rod,tabl,chair,gun,42,fishing pol,net,ax,saw,tabl,box,31,chapstick,gum,phon,granola bar,mint,Kleenex,52,pet food,cag,pet toy,pet treat,book,grooming tool,75,tir,ga can,work bench,oil,tool,fire extinguisher,31,plat,cup,silverwar,photograph,collectabl,doll,33,banana,water,orang,milk,cok,bread,34,gum,wallet,key,mask,id card,sunglas,29,nail,tape measur,fork,spoon,fishing lin,key,38,beanbag chair,bong,mountain dew,cheeto,match,weed,33,hi mother,hi father,hi grandmother,hi best friend,hi ex,hi bos,25,gum,mint,wallet,phon,key,pen,38,egg,mushroom,bamboo shoot,ric,tofu,seitan,37.339
96.58.8.22,674,FALSE,A2MWAXV1YRK5GH,0,,pencil,paper,phon,lamp,calendar,printer,94,blanket,desk,chair,lamp,sho,book,59,chair,tabl,lamp,rug,TV,stov,44,plant,chair,tabl,sofa,pictur,sink,56,book,pencil,notepad,mask,candy,AAA membership card,87,bell,register,light,plant,chair,bin,72,lawn mower,rak,shovel,fertilizer,hammer,saw,43,glu,string,bead,rubber stamp,ruler,ink pad,109,tabl,stov,fridg,chair,spoon,knif,46,string,penni,pencil,credit card,gum,candy,45,paper clip,glu,aspirin,printer paper,lotion,penni,96,tabl,bed,lamp,book,candl,guitar,55,doctor number,Amazon app,email,photo,camera,new,76,key,pencil,credit card,money,paper clip,shopping list,56,vegetabl,noodl,dumpling,egg,cocktail,broth,137.293
73.196.253.146,1613,FALSE,AMELYCC59JKB0,0,,tabl,chair,microwav,fridg,rug,pictur,32,couch,chair,microwav,toothpast,dresser,rug,23,bed,blanket,fridg,plat,cup,fork,23,couch,tabl,chair,fridg,microwav,lamp,36,receipt,shopping list,gum,notebook,folder,pen,45,dog food,cat food,bird food,collar,leash,litter,27,shovel,hammer,saw,lawnmower,weed whacker,screw,36,fabric,glu,sticker,glitter,sequin,thread,77,plat,bowl,cup,fork,kniv,spoon,20,chang,receipt,dollar bill,wallet,pen,gum,30,pen,notebook,paper clip,stapler,white out,marker,31,bed,desk,chair,fan,pen,book,26,pictur,song,text messag,bank app,social media app,phone log,58,wallet,phon,shopping list,receipt,pen,gum,31,noodl,eggrol,soup,tofu,bread,fortune cooki,37.885
67.163.202.164,1131,FALSE,A1F1TBDHPYAAXT,0,,vacuum cleaner,sink,water filter,fridg,stov,diswasher,39,counter,desk,bed,bread,painting,drap,32,sofa,bed,fridg,sink,vacuum cleaner,chair,36,sofa,bed,shelf,book,sink,refrigeratyor,39,addres book,book,glov,perfum,makeup,calendar,43,cag,pet food,cash register,bathroom,sal associat,floor,53,lawn mower,hot water heater,trash,hammer,plier,nail,50,soup,canned tuna,sardin,coffee filter,gum,fire extinguisher,64,silverwar,coffee maker,dishwasher,bread,expresso machin,small TV,51,key,phon,coin,wallet,receipt,gum,45,tool,silverwar,receipt,coupon,pen,pencil,38,desk,bed,mirror,toilet,sink,toothbrush,30,bank app,new app,dialing pad,message app,grocery store app,amazon app,55,bread,appl,toilet paper,frozen dinner,peanut butter,banana,61,noodl,sak,hot sauc,bread,soup,lentil,53.464
75.133.29.59,725,FALSE,A3EGXFT5MXGKKO,0,,oven,stool,rug,sho,door,doorbell,94,gift box,poster,calendar,couch,tv,miniblind,30,rug,couch,tv,artwork,stair,cat tre,26,mattres,artwork,calendar,cereal,bathroom,milk,31,envelop,mask,notebook,pencil,pen,paperclip,29,cat food,treat,cag,dish,shampoo,toy,24,door opener,toolbox,saw,lath,chisel,3d printer,38,towel,medicin,empty box,backpack,tshirt,jean,28,pantry,can,microwav,fridg,chair,coffeemaker,34,coin,dollar bill,cotton swab,handkerchief,wallet,photo,35,Cotton ball,batteri,vitamin,cat treat,aluminum foil,stationary,39,dishcloth,book,cat,peanut butter,shampoo,phon,28,gam,clock,calculator,document,video,photo,19,tweezer,flashlight,wallet,camera,phon,coin,37,milkshak,soda,cooki,cak,vegetable broth,utensil,51.637
73.228.143.226,355,FALSE,A1DX0Z20W07YOR,1,,Exercise equipment,Stereo,Game system,coffee maker,Tool,X,155,fridg,Couch,tv set,stereo,Rug,Candl,78,fireplac,stov,microwav,towel,blanket,couch,100,couch,tabl,chair,bug,bear rug,marshmallow,93,Gum,phon,headphon,bu pas,tissu,pen,55,Pet food,Pet clothing,Pet toy,Pet accessori,Pet container,Literature about pets( Training guides ),109,Tool,garbag,Stored belonging,exercise equipment,Portable chair,toy,84,rag,turpentin,clay,apron,pipe cleaner,sticker,135,fridg,sink,food,dishwasher,trash can,pan,63,money,lint,receipt,candy,key,ID,65,twist ti,button,batteri,soy sauce packet,birthday candl,flashlight,105,desk,bed,bookshelf,laptop,dresser,window,71,Photo,game app,saved password,social media,family contact,music,75,Wallet,Phon,Headphon,Candy,loose chang,bottle of water,58,Soup,salad,ric,brocolli,egg roll,saki,184.14
24.101.43.42,944,FALSE,A281NYJUA83Y3Y,0,,Soda,Juic,Water,Gatorad,Lemonad,Fresca,100,Water,fridg,Couch,Sink,Tabl,Chair,19,Pillow,Blanket,Jacket,Boot,Glov,Hat,224,Fishing pol,Couch,Sink,TV,Book,Bathroom,35,Sunglas,Key,Chapstick,Hand Sanitizer,Lighter,Face mask,114,Dog Food,Fish,Collar,Cat treat,Cat collar,Dog toy,87,Football,Cleat,Power tool,Yard tool,Box,Cloth,46,Clay,Paint,Brush,Ruler,Glitter,Sparkl,508,Knif,Fork,Ic,Glas,Mug,Plat,40,Key,Phon,Coin,Dollar,Wallet,Hand Sanitizer,48,Pen,Paper,Paper Clip,Ruler,Sharpi,Calculator,82,Pencil,Textbook,Ruler,Calculator,Laptop,Cup,93,Map App,Bank App,Text Messag,Email,Alarm Clock,Not,25,Extra Bag,Key,Wallet,Sun glas,Hand Sanitizer,Wip,43,Mushroom,Bok Choy,Fish Cak,Onion,Bean Sprout,Udon,147.982
75.191.84.240,2806,FALSE,A7QCRGQN5N9H0,12,,tax form,pot and pan,dog,weight,exercise bik,X,34,soap,dog,cup,couch,pan,X,21,blanket,pillow,sleeping bag,cat,X,X,175,chair,tabl,flashlight,book,X,X,48,lipstick,eyeshadow,coinpurs,pencil,driver licens,candy,48,cat food,cat litter,dog toy,dog treat,dog leash,fish food,33,drill,hammer,nail,garbage bag,X,X,13,cracker,chip,bean,pasta,shampoo,towel,27,pot,pan,fridg,bread,egg,X,57,gum,coin,driver licens,wallet,candy,cigarett,20,underwear,batteri,hair ti,toothpast,deodorant,credit card,54,paper,blanket,chair,Playstation,sho,boot,20,pictur,Facebook,video,mem,email,X,55,utility knif,flashlight,cigarett,wallet,pencil,X,27,noodl,dumpling,vegetable tempura,fried ric,bubble tea,X,35.26
184.2.66.228,1240,FALSE,A2YM7JPXVLEDM3,5,,stereo,drum,desk,lamp,X,X,54,tea,tv,stereo,blanket,pillow,couch,94,couch,fireplac,blanket,rug,jacket,wood,55,marshmallow,canned food,wood,ic,X,X,143,phon,car key,house key,ID,pen,gum,45,dog food,collar,dog bed,fish food,fish bowl,dog sweater,43,paint,tool,trash can,Recycling,canned food,freezer,42,glu,paper,cardboard,brush,water,cup,22,chang,wallet,gum,phon,cash,hair ti,38,gum,wallet,ID,cash,reciept,tissu,44,spoon,fork,ladl,rubber band,lighter,pen,35,rubber band,soup,food,coffe,tabl,rug,163,gam,contact for sal department,number for family member,number for friend,number for HR department,calendar,73,wallet,cash,chang,ID,gum,lighter,16,Vegetabl,fish,egg,noodl,broth,X,39.072
