id,story,trigger,trigger_relevance,query,query_relevance,response,neg,set,scale,region,set_model,ordering_model,conjunction_model,disjunction_model,cleaned_trigger,cleaned_query
A2XS49LRNX8PD4,bag,chalk,2,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,chalk,pen
A2F1AA15HG0FRU,bag,headphones,5,crayons,1,-1,1,inside,above,B,-1,-1,-1,-1,headphones,crayons
ANCIB6B6EBBIJ,bag,cash,4,makeup,3,0,0,outside,above,D,0,-1,0,-1,cash,makeup
AIA7RZSAONU5M,bag,chalk,2,makeup,3,0,0,outside,below,C,0,0,0,0,chalk,makeup
A1BIJGB7XA0GME,bag,chalk,2,headphones,5,0,0,outside,below,C,0,0,0,0,chalk,headphones
A35Z5I09VVHKNS,bag,crayons,1,chalk,2,0,0,inside,below,A,-1,0,0,-1,crayons,chalk
A27W025UEXS1G0,bag,crayons,1,chalk,2,-1,1,inside,below,A,-1,0,0,-1,crayons,chalk
A11ILN5YSUDVG8,bag,a pen,0,chalk,2,-1,1,inside,below,A,-1,0,0,-1,pen,chalk
AFCMHQWCV6N02,bag,crayons,1,chalk,2,-1,1,inside,below,A,-1,0,0,-1,crayons,chalk
A1ZVJG3BKYHJWN,bag,a pen,0,crayons,1,-1,1,inside,below,A,-1,0,0,-1,pen,crayons
A2W3I2GBGDB637,bag,headphones,5,cash,4,0,0,outside,above,D,0,-1,0,-1,headphones,cash
AG2YM9OWQP690,bag,crayons,1,chalk,2,-1,1,inside,below,A,-1,0,0,-1,crayons,chalk
A374VGT4KMZFGB,bag,crayons,1,chalk,2,-1,1,inside,below,A,-1,0,0,-1,crayons,chalk
A1C1A02LRDH4CV,bag,cash,4,makeup,3,0,0,outside,above,D,0,-1,0,-1,cash,makeup
A224EAEEF6Q17H,bag,cash,4,makeup,3,-1,1,outside,above,D,0,-1,0,-1,cash,makeup
A136K4YZY2OFTV,bag,chalk,2,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,chalk,pen
A34FFFROPR98NA,bag,headphones,5,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,headphones,pen
AARMOB6D5ZZVG,bag,headphones,5,cash,4,-1,1,outside,above,D,0,-1,0,-1,headphones,cash
A1DQ55GDGONJVB,bag,a pen,0,crayons,1,-1,1,inside,below,A,-1,0,0,-1,pen,crayons
ADFJOOSM3Q18G,bag,a pen,0,crayons,1,-1,1,inside,below,A,-1,0,0,-1,pen,crayons
A2M183CETUMR96,bag,cash,4,makeup,3,0,0,outside,above,D,0,-1,0,-1,cash,makeup
A399GYOD60WD7M,bag,crayons,1,headphones,5,0,0,outside,below,C,0,0,0,0,crayons,headphones
A36470UBRH28GO,bag,a pen,0,chalk,2,-1,1,inside,below,A,-1,0,0,-1,pen,chalk
A5P12YJP805RG,bag,headphones,5,makeup,3,0,0,outside,above,D,0,-1,0,-1,headphones,makeup
A1NWXL4QO30M8U,bag,headphones,5,makeup,3,0,0,outside,above,D,0,-1,0,-1,headphones,makeup
A1OOCYEFLAJD98,bag,a pen,0,makeup,3,0,0,outside,below,C,0,0,0,0,pen,makeup
A1GWYEIX5S6JU4,bag,crayons,1,cash,4,0,0,outside,below,C,0,0,0,0,crayons,cash
A1JVO7FLPATHUB,bag,crayons,1,cash,4,0,0,outside,below,C,0,0,0,0,crayons,cash
A3J2T92V25NJ83,bag,headphones,5,makeup,3,0,0,outside,above,D,0,-1,0,-1,headphones,makeup
AX7WITN5DWW6U,bag,cash,4,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,cash,pen
A3UQ5DF8VVD975,bag,a pen,0,crayons,1,-1,1,inside,below,A,-1,0,0,-1,pen,crayons
A2SWQM5X54P1O5,bag,crayons,1,cash,4,0,0,outside,below,C,0,0,0,0,crayons,cash
A82Q1HS5CPZ5I,bag,cash,4,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,cash,pen
AFU00NU09CFXE,bag,cash,4,chalk,2,-1,1,inside,above,B,-1,-1,-1,-1,cash,chalk
AZ69TBTDH7AZS,bag,headphones,5,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,headphones,pen
A248QG4DPULP46,bag,headphones,5,makeup,3,0,0,outside,above,D,0,-1,0,-1,headphones,makeup
A2JDYN6QM8M5UN,bag,a pen,0,crayons,1,-1,1,inside,below,A,-1,0,0,-1,pen,crayons
AK1GE19RT3PK6,bag,makeup,3,cash,4,0,0,outside,below,C,0,0,0,0,makeup,cash
A8V0L2YF8U6OX,bag,cash,4,makeup,3,0,0,outside,above,D,0,-1,0,-1,cash,makeup
A19CB2C4GY4C60,bag,a pen,0,cash,4,0,0,outside,below,C,0,0,0,0,pen,cash
A14W0AXTJ3R19V,bag,cash,4,makeup,3,0,0,outside,above,D,0,-1,0,-1,cash,makeup
A3JWOB5IEJCDZC,bag,a pen,0,makeup,3,0,0,outside,below,C,0,0,0,0,pen,makeup
A36HFMF9Z4BGS8,bag,chalk,2,crayons,1,-1,1,inside,above,B,-1,-1,-1,-1,chalk,crayons
A2BW6WD7LZ9EGV,bag,makeup,3,chalk,2,-1,1,inside,above,B,-1,-1,-1,-1,makeup,chalk
A249LDVPG27XCE,bag,crayons,1,makeup,3,0,0,outside,below,C,0,0,0,0,crayons,makeup
AMNYICW3K2JNE,bag,a pen,0,headphones,5,0,0,outside,below,C,0,0,0,0,pen,headphones
AWVIOLZUKBNVU,bag,a pen,0,chalk,2,-1,1,inside,below,A,-1,0,0,-1,pen,chalk
A3CTXNQ2GXIQSP,bag,chalk,2,headphones,5,0,0,outside,below,C,0,0,0,0,chalk,headphones
A3M8O363B3IAKE,bag,chalk,2,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,chalk,pen
A2VUF0V7HT51Q3,bag,cash,4,headphones,5,0,0,outside,below,C,0,0,0,0,cash,headphones
A3BROF6UXA9TR8,bag,chalk,2,headphones,5,0,0,outside,below,C,0,0,0,0,chalk,headphones
ADPNI115MW4RP,bag,makeup,3,cash,4,0,0,outside,below,C,0,0,0,0,makeup,cash
A28674MVBV4RTR,bag,headphones,5,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,headphones,pen
ATIVK9XUANIUE,bag,a pen,0,chalk,2,-1,1,inside,below,A,-1,0,0,-1,pen,chalk
ADVCIFLB5A9B,bag,makeup,3,chalk,2,-1,1,inside,above,B,-1,-1,-1,-1,makeup,chalk
A3VICGAIVOTX4U,bag,crayons,1,chalk,2,-1,1,inside,below,A,-1,0,0,-1,crayons,chalk
A258IQXX7F3Z8O,bag,crayons,1,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,crayons,pen
A3ROADR7T6811,bag,a pen,0,chalk,2,-1,1,inside,below,A,-1,0,0,-1,pen,chalk
A2O2Q0LVWOWJ1G,bag,headphones,5,makeup,3,0,0,outside,above,D,0,-1,0,-1,headphones,makeup
AHKOMKJ1HGJLM,bag,makeup,3,headphones,5,0,0,outside,below,C,0,0,0,0,makeup,headphones
A1CH3TODZNQCES,bag,cash,4,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,cash,pen
AEWGY34WUIA32,bag,a pen,0,cash,4,0,0,outside,below,C,0,0,0,0,pen,cash
A292TFDMNVS0TP,bag,a pen,0,chalk,2,0,0,inside,below,A,-1,0,0,-1,pen,chalk
A38240X9B0EBKE,bag,chalk,2,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,chalk,pen
A14YQGOZX4KRMA,bag,chalk,2,makeup,3,0,0,outside,below,C,0,0,0,0,chalk,makeup
A2PAAKWSQISAO8,bag,a pen,0,chalk,2,-1,1,inside,below,A,-1,0,0,-1,pen,chalk
A1S2NQYJGZ0C5F,bag,headphones,5,chalk,2,0,0,inside,above,B,-1,-1,-1,-1,headphones,chalk
A1NDMFN9A5G25G,bag,headphones,5,cash,4,0,0,outside,above,D,0,-1,0,-1,headphones,cash
A3STYPRAMUU88P,bag,a pen,0,headphones,5,0,0,outside,below,C,0,0,0,0,pen,headphones
A2Y1XQ4UD5VAYH,bag,headphones,5,cash,4,0,0,outside,above,D,0,-1,0,-1,headphones,cash
A3L2XKXABNO0N5,bag,makeup,3,headphones,5,0,0,outside,below,C,0,0,0,0,makeup,headphones
AVXEDARJC5HLU,bag,headphones,5,makeup,3,0,0,outside,above,D,0,-1,0,-1,headphones,makeup
A1DUPOUC9RNU4L,bag,a pen,0,cash,4,0,0,outside,below,C,0,0,0,0,pen,cash
AHV4U78TUUDKI,bag,headphones,5,makeup,3,0,0,outside,above,D,0,-1,0,-1,headphones,makeup
A3PNM68OZPN847,bag,chalk,2,cash,4,0,0,outside,below,C,0,0,0,0,chalk,cash
AL51KTD0WITH9,bag,headphones,5,cash,4,0,0,outside,above,D,0,-1,0,-1,headphones,cash
AZTQX7APEZXME,bag,cash,4,crayons,1,-1,1,inside,above,B,-1,-1,-1,-1,cash,crayons
A11YS0T8MV3Q7C,bag,makeup,3,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,makeup,pen
A2VR9O234UCT9T,bag,chalk,2,makeup,3,0,0,outside,below,C,0,0,0,0,chalk,makeup
AOGXFLXT1BNE9,bag,cash,4,makeup,3,0,0,outside,above,D,0,-1,0,-1,cash,makeup
A37JC45Y9GLSA7,bag,crayons,1,chalk,2,-1,1,inside,below,A,-1,0,0,-1,crayons,chalk
A1RFH0LZHG2C1R,bag,cash,4,crayons,1,-1,1,inside,above,B,-1,-1,-1,-1,cash,crayons
A2BEL77FLYXFJS,bag,headphones,5,cash,4,0,0,outside,above,D,0,-1,0,-1,headphones,cash
A2LMQ4497NMK3S,bag,cash,4,makeup,3,0,0,outside,above,D,0,-1,0,-1,cash,makeup
A1RTSWQLSN8FKX,bag,chalk,2,crayons,1,-1,1,inside,above,B,-1,-1,-1,-1,chalk,crayons
A8A9DUD87SMQ9,bag,headphones,5,makeup,3,-1,1,outside,above,D,0,-1,0,-1,headphones,makeup
A2KRWSCXNUNMAJ,bag,a pen,0,chalk,2,-1,1,inside,below,A,-1,0,0,-1,pen,chalk
A6OBT1RD68EMZ,bag,chalk,2,headphones,5,0,0,outside,below,C,0,0,0,0,chalk,headphones
A204Q4T20BP8V,bag,chalk,2,crayons,1,-1,1,inside,above,B,-1,-1,-1,-1,chalk,crayons
ABBP9JASL9AGK,bag,a pen,0,chalk,2,-1,1,inside,below,A,-1,0,0,-1,pen,chalk
A1AIMKA54UBYIQ,bag,a pen,0,crayons,1,0,0,inside,below,A,-1,0,0,-1,pen,crayons
AM2KK02JXXW48,bag,a pen,0,crayons,1,-1,1,inside,below,A,-1,0,0,-1,pen,crayons
AP8OG80OLCCMC,bag,headphones,5,chalk,2,-1,1,inside,above,B,-1,-1,-1,-1,headphones,chalk
A2K0L9M1ZZO5C9,bag,crayons,1,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,crayons,pen
A1R8A8BK2VN7RH,bag,chalk,2,cash,4,0,0,outside,below,C,0,0,0,0,chalk,cash
A1WDKH2DYOYE8X,bag,cash,4,chalk,2,-1,1,inside,above,B,-1,-1,-1,-1,cash,chalk
