set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,chalk,pen,1,-0.10092591858996053,0.904,0.904
3,500,bag,crayons,chalk,1,-1.7957674906255938,0.166,0.166
3,500,bag,pen,makeup,1,-2.385966701933097,0.092,0.092
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,chalk,crayons,1,-0.18152187662339034,0.834,0.834
3,500,bag,crayons,chalk,1,-1.7957674906255938,0.166,0.166
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,headphones,makeup,1,-0.1960148839259572,0.822,0.822
3,500,bag,crayons,chalk,1,-1.7957674906255938,0.166,0.166
3,500,bag,headphones,pen,1,-0.012072581234269249,0.988,0.988
3,500,bag,headphones,chalk,1,-0.164874643190234,0.848,0.848
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,crayons,headphones,1,-3.7297014486341915,0.024,0.024
3,500,bag,crayons,makeup,0,-0.15782408519356722,0.146,0.854
3,500,bag,pen,chalk,0,-0.10092591858996053,0.096,0.904
3,500,bag,crayons,pen,1,-0.47160491061270937,0.624,0.624
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,pen,crayons,1,-0.9781661355922425,0.376,0.376
3,500,bag,headphones,makeup,1,-0.1960148839259572,0.822,0.822
3,500,bag,pen,makeup,0,-0.09651090038084373,0.092,0.908
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,headphones,pen,1,-0.012072581234269249,0.988,0.988
3,500,bag,chalk,headphones,1,-1.8838747581358606,0.152,0.152
3,500,bag,crayons,chalk,1,-1.7957674906255938,0.166,0.166
3,500,bag,crayons,chalk,1,-1.7957674906255938,0.166,0.166
3,500,bag,makeup,crayons,1,-0.15782408519356722,0.854,0.854
3,500,bag,makeup,pen,1,-0.09651090038084373,0.908,0.908
3,500,bag,chalk,crayons,1,-0.18152187662339034,0.834,0.834
3,500,bag,pen,headphones,0,-0.012072581234269249,0.012,0.988
3,500,bag,pen,crayons,0,-0.47160491061270937,0.376,0.624
3,500,bag,pen,chalk,0,-0.10092591858996053,0.096,0.904
3,500,bag,chalk,crayons,1,-0.18152187662339034,0.834,0.834
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,pen,crayons,1,-0.9781661355922425,0.376,0.376
3,500,bag,pen,makeup,0,-0.09651090038084373,0.092,0.908
3,500,bag,pen,headphones,0,-0.012072581234269249,0.012,0.988
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,crayons,chalk,0,-0.18152187662339034,0.166,0.834
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,pen,crayons,1,-0.9781661355922425,0.376,0.376
3,500,bag,crayons,makeup,0,-0.15782408519356722,0.146,0.854
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,pen,crayons,1,-0.9781661355922425,0.376,0.376
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,chalk,makeup,1,-0.7298111649315367,0.482,0.482
3,500,bag,headphones,chalk,0,-1.8838747581358606,0.848,0.15200000000000002
3,500,bag,pen,headphones,0,-0.012072581234269249,0.012,0.988
3,500,bag,headphones,crayons,1,-0.024292692569044587,0.976,0.976
3,500,bag,pen,crayons,1,-0.9781661355922425,0.376,0.376
3,500,bag,makeup,pen,1,-0.09651090038084373,0.908,0.908
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,crayons,headphones,0,-0.024292692569044587,0.024,0.976
3,500,bag,pen,chalk,1,-2.3434070875143007,0.096,0.096
3,500,bag,makeup,crayons,1,-0.15782408519356722,0.854,0.854
3,500,bag,crayons,chalk,1,-1.7957674906255938,0.166,0.166
3,500,bag,headphones,chalk,0,-1.8838747581358606,0.848,0.15200000000000002
3,500,bag,crayons,chalk,1,-1.7957674906255938,0.166,0.166
3,500,bag,chalk,pen,1,-0.10092591858996053,0.904,0.904
3,500,bag,chalk,makeup,0,-0.657780036722654,0.482,0.518
3,500,bag,pen,crayons,1,-0.9781661355922425,0.376,0.376
3,500,bag,headphones,crayons,1,-0.024292692569044587,0.976,0.976
3,500,bag,pen,crayons,1,-0.9781661355922425,0.376,0.376
3,500,bag,pen,makeup,0,-0.09651090038084373,0.092,0.908
3,500,bag,pen,crayons,1,-0.9781661355922425,0.376,0.376
3,500,bag,crayons,headphones,0,-0.024292692569044587,0.024,0.976
3,500,bag,makeup,headphones,0,-0.19601488392595706,0.178,0.8220000000000001
3,500,bag,crayons,chalk,1,-1.7957674906255938,0.166,0.166
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,crayons,chalk,1,-1.7957674906255938,0.166,0.166
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,pen,crayons,1,-0.9781661355922425,0.376,0.376
3,500,bag,headphones,pen,1,-0.012072581234269249,0.988,0.988
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,pen,crayons,1,-0.9781661355922425,0.376,0.376
3,500,bag,pen,makeup,0,-0.09651090038084373,0.092,0.908
3,500,bag,chalk,crayons,1,-0.18152187662339034,0.834,0.834
3,500,bag,makeup,chalk,1,-0.657780036722654,0.518,0.518
3,500,bag,crayons,makeup,0,-0.15782408519356722,0.146,0.854
