NextWordPredictionModelRaw,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood
cloze,set,bag,1152,8,-0.7350548673906702
cloze,set,bakery,1704,8,-0.9465261563563014
cloze,set,beach,1704,8,-1.0130458689583548
cloze,set,cold,736,8,-0.5671343686211798
cloze,set,cut,1704,8,-0.7525231065157106
cloze,set,fridge,1704,8,-0.7546765842993097
cloze,set,gym,1104,8,-1.0769517601317162
cloze,set,hot,1704,8,-0.8405428941643701
cloze,set,mask,1144,8,-1.526796773163605
cloze,set,meat,1168,8,-1.1784948818380696
cloze,set,restaurant,1704,8,-1.0006683698647845
cloze,set,salad,1120,8,-0.8891294438328261
cloze,set,science,1704,8,-1.5928489223662248
cloze,set,throw,1104,8,-0.8955290591315342
cloze,set,transport,768,8,-0.7482324170325493
cloze,ordering,bag,144,1,-0.9693975727845161
cloze,ordering,bakery,213,1,-0.7721915767147407
cloze,ordering,beach,213,1,-0.8162058162083663
cloze,ordering,cold,92,1,-0.6643161123225729
cloze,ordering,cut,213,1,-0.6991275474852806
cloze,ordering,fridge,213,1,-3.0112959133945028
cloze,ordering,gym,138,1,-0.7459961354827636
cloze,ordering,hot,213,1,-2.1255757022831254
cloze,ordering,mask,143,1,-2.935907876613536
cloze,ordering,meat,146,1,-0.8159213042073997
cloze,ordering,restaurant,213,1,-0.5599318559677371
cloze,ordering,salad,140,1,-0.7546178139898292
cloze,ordering,science,213,1,-0.914279122378842
cloze,ordering,throw,138,1,-0.8267159564433783
cloze,ordering,transport,96,1,-0.7386445960505877
cloze,conjunction,bag,1152,8,-1.0208322406201558
cloze,conjunction,bakery,1704,8,-1.0919392412247717
cloze,conjunction,beach,1704,8,-1.0365672766239435
cloze,conjunction,cold,736,8,-0.620873084929025
cloze,conjunction,cut,1704,8,-0.7879790983841819
cloze,conjunction,fridge,1704,8,-0.8956602876584515
cloze,conjunction,gym,1104,8,-1.266103144586975
cloze,conjunction,hot,1704,8,-0.8576878048015036
cloze,conjunction,mask,1144,8,-1.5540494884941958
cloze,conjunction,meat,1168,8,-1.3778557628212111
cloze,conjunction,restaurant,1704,8,-0.9975007124944807
cloze,conjunction,salad,1120,8,-0.940449151935069
cloze,conjunction,science,1704,8,-1.731424115205792
cloze,conjunction,throw,1104,8,-1.0625330837167029
cloze,conjunction,transport,768,8,-0.7642570356325927
cloze,disjunction,bag,1152,8,-0.7568882395063844
cloze,disjunction,bakery,1704,8,-0.6710160474313661
cloze,disjunction,beach,1704,8,-0.8210890445602356
cloze,disjunction,cold,736,8,-0.6662561539659762
cloze,disjunction,cut,1704,8,-0.6716914919921629
cloze,disjunction,fridge,1704,8,-2.898729836993632
cloze,disjunction,gym,1104,8,-0.6026223962727242
cloze,disjunction,hot,1704,8,-2.253373193050586
cloze,disjunction,mask,1144,8,-2.9293082907289016
cloze,disjunction,meat,1168,8,-0.6788575019747255
cloze,disjunction,restaurant,1704,8,-0.6016696078046071
cloze,disjunction,salad,1120,8,-0.7554143066285999
cloze,disjunction,science,1704,8,-0.837266030630081
cloze,disjunction,throw,1104,8,-0.6598043785499771
cloze,disjunction,transport,768,8,-0.741677663434141
