set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,chalk,pen,1,-1.016111067156366,0.362,0.362
3,500,bag,pen,makeup,1,-3.3813947543659753,0.034,0.034
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,makeup,1,-3.1700856606987684,0.042,0.042
3,500,bag,headphones,pen,1,-1.0051219455807707,0.366,0.366
3,500,bag,headphones,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,chalk,0,-0.038740828316430595,0.038,0.962
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,makeup,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,makeup,0,-0.03459144476961908,0.034,0.966
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,headphones,pen,1,-1.0051219455807707,0.366,0.366
3,500,bag,chalk,headphones,1,-5.115995809754082,0.006,0.006
3,500,bag,makeup,pen,1,-1.0106014113453963,0.364,0.364
3,500,bag,pen,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,chalk,0,-0.038740828316430595,0.038,0.962
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,pen,makeup,0,-0.03459144476961908,0.034,0.966
3,500,bag,pen,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,chalk,makeup,1,-3.1700856606987684,0.042,0.042
3,500,bag,headphones,chalk,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,makeup,pen,1,-1.0106014113453963,0.364,0.364
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,headphones,chalk,0,-0.04290750101127654,0.042,0.958
3,500,bag,chalk,pen,1,-1.016111067156366,0.362,0.362
3,500,bag,chalk,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,makeup,0,-0.03459144476961908,0.034,0.966
3,500,bag,makeup,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,pen,1,-1.0051219455807707,0.366,0.366
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,makeup,0,-0.03459144476961908,0.034,0.966
3,500,bag,makeup,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,chalk,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,chalk,pen,1,-1.016111067156366,0.362,0.362
3,500,bag,chalk,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,chalk,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,chalk,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,chalk,pen,1,-1.016111067156366,0.362,0.362
3,500,bag,headphones,pen,1,-1.0051219455807707,0.366,0.366
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,makeup,0,-0.03459144476961908,0.034,0.966
3,500,bag,headphones,pen,1,-1.0051219455807707,0.366,0.366
3,500,bag,headphones,makeup,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,chalk,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,headphones,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,makeup,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,headphones,makeup,1,-3.1700856606987684,0.042,0.042
3,500,bag,makeup,pen,1,-1.0106014113453963,0.364,0.364
3,500,bag,chalk,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,makeup,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,makeup,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,chalk,0,-0.038740828316430595,0.038,0.962
3,500,bag,chalk,pen,1,-1.016111067156366,0.362,0.362
3,500,bag,chalk,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,chalk,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,chalk,1,-3.270169119255751,0.038,0.038
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,makeup,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bakery,ice cream,muffins,0,-0.07688104433595762,0.074,0.926
3,500,bakery,water,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,water,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,pretzels,muffins,1,-2.603690185777967,0.074,0.074
3,500,bakery,ice cream,muffins,0,-0.07688104433595762,0.074,0.926
3,500,bakery,pretzels,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,water,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,water,pretzels,1,-3.816712825623821,0.022,0.022
3,500,bakery,water,pretzels,1,-3.816712825623821,0.022,0.022
3,500,bakery,pretzels,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,muffins,pretzels,1,-3.816712825623821,0.022,0.022
3,500,bakery,muffins,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,muffins,pretzels,1,-3.816712825623821,0.022,0.022
3,500,bakery,water,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,ice cream,muffins,0,-0.07688104433595762,0.074,0.926
3,500,bakery,water,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,ice cream,muffins,1,-2.603690185777967,0.074,0.074
3,500,bakery,water,muffins,1,-2.5770219386958058,0.076,0.076
3,500,bakery,ice cream,muffins,1,-2.603690185777967,0.074,0.074
3,500,bakery,water,muffins,1,-2.5770219386958058,0.076,0.076
3,500,bakery,ice cream,muffins,1,-2.603690185777967,0.074,0.074
3,500,bakery,muffins,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,water,pretzels,1,-3.816712825623821,0.022,0.022
3,500,bakery,pretzels,muffins,1,-2.603690185777967,0.074,0.074
3,500,bakery,water,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,ice cream,muffins,1,-2.603690185777967,0.074,0.074
3,500,bakery,ice cream,muffins,1,-2.603690185777967,0.074,0.074
3,500,bakery,muffins,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,ice cream,water,1,-5.115995809754082,0.006,0.006
3,500,bakery,ice cream,muffins,0,-0.07688104433595762,0.074,0.926
3,500,bakery,water,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,ice cream,muffins,0,-0.07688104433595762,0.074,0.926
3,500,bakery,ice cream,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,ice cream,muffins,1,-2.603690185777967,0.074,0.074
3,500,bakery,water,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,pretzels,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,ice cream,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,water,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,water,ice cream,0,-0.08992470752798701,0.086,0.914
3,500,bakery,ice cream,muffins,0,-0.07688104433595762,0.074,0.926
3,500,bakery,muffins,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,ice cream,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,ice cream,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,pretzels,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,water,muffins,0,-0.07904320734045284,0.076,0.924
3,500,bakery,water,pretzels,1,-3.816712825623821,0.022,0.022
3,500,bakery,pretzels,muffins,1,-2.603690185777967,0.074,0.074
3,500,bakery,ice cream,muffins,1,-2.603690185777967,0.074,0.074
3,500,bakery,muffins,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,muffins,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,ice cream,pretzels,1,-3.912023005428146,0.02,0.02
3,500,bakery,water,pretzels,1,-3.816712825623821,0.022,0.022
3,500,bakery,muffins,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,water,muffins,1,-2.5770219386958058,0.076,0.076
3,500,bakery,ice cream,muffins,1,-2.603690185777967,0.074,0.074
3,500,bakery,water,muffins,0,-0.07904320734045284,0.076,0.924
3,500,bakery,muffins,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,ice cream,muffins,0,-0.07688104433595762,0.074,0.926
3,500,bakery,ice cream,muffins,1,-2.603690185777967,0.074,0.074
3,500,bakery,pretzels,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,pretzels,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,pretzels,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,water,pretzels,1,-3.816712825623821,0.022,0.022
3,500,bakery,ice cream,muffins,1,-2.603690185777967,0.074,0.074
3,500,bakery,water,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,muffins,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,water,muffins,0,-0.07904320734045284,0.076,0.924
3,500,bakery,pretzels,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,ice cream,pretzels,0,-0.020202707317519466,0.02,0.98
3,500,bakery,water,ice cream,0,-0.08992470752798701,0.086,0.914
3,500,bakery,ice cream,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,pretzels,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,muffins,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,water,pretzels,1,-3.816712825623821,0.022,0.022
3,500,beach,jeans,bikini,1,-3.324236340526027,0.036,0.036
3,500,beach,bikini,shorts,0,-0.406465608441748,0.334,0.6659999999999999
3,500,beach,jeans,bikini,1,-3.324236340526027,0.036,0.036
3,500,beach,jacket,shorts,1,-1.0847093834991182,0.338,0.338
3,500,beach,jacket,jeans,0,-0.028399474521698,0.028,0.972
3,500,beach,jeans,jacket,0,-0.03252319170556006,0.032,0.968
3,500,beach,jeans,shorts,1,-1.0788096613719298,0.34,0.34
3,500,beach,bikini,jeans,1,-3.575550768806933,0.028,0.028
3,500,beach,jeans,shorts,1,-1.0788096613719298,0.34,0.34
3,500,beach,bikini,shorts,1,-1.0966142860054364,0.334,0.334
3,500,beach,jacket,shorts,0,-0.412489723045129,0.338,0.6619999999999999
3,500,beach,jeans,shorts,1,-1.0788096613719298,0.34,0.34
3,500,beach,jacket,jeans,1,-3.575550768806933,0.028,0.028
3,500,beach,bikini,jacket,0,-0.03252319170556006,0.032,0.968
3,500,beach,jacket,jeans,1,-3.575550768806933,0.028,0.028
3,500,beach,bikini,shorts,1,-1.0966142860054364,0.334,0.334
3,500,beach,jacket,shorts,1,-1.0847093834991182,0.338,0.338
3,500,beach,shorts,bikini,1,-3.4420193761824103,0.032,0.032
3,500,beach,jacket,bikini,1,-3.324236340526027,0.036,0.036
3,500,beach,bikini,jeans,0,-0.028399474521698,0.028,0.972
3,500,beach,jacket,jeans,0,-0.028399474521698,0.028,0.972
3,500,beach,bikini,shorts,1,-1.0966142860054364,0.334,0.334
3,500,beach,shorts,jacket,0,-0.026343975339601977,0.026,0.974
3,500,beach,bikini,jeans,0,-0.028399474521698,0.028,0.972
3,500,beach,jacket,bikini,1,-3.324236340526027,0.036,0.036
3,500,beach,jeans,bikini,1,-3.324236340526027,0.036,0.036
3,500,beach,jacket,jeans,0,-0.028399474521698,0.028,0.972
3,500,beach,jacket,jeans,1,-3.575550768806933,0.028,0.028
3,500,beach,shorts,bikini,0,-0.03252319170556006,0.032,0.968
3,500,beach,jeans,jacket,0,-0.03252319170556006,0.032,0.968
3,500,beach,bikini,shorts,1,-1.0966142860054364,0.334,0.334
3,500,beach,bikini,shorts,1,-1.0966142860054364,0.334,0.334
3,500,beach,jeans,jacket,0,-0.03252319170556006,0.032,0.968
3,500,beach,shorts,jeans,0,-0.020202707317519466,0.02,0.98
3,500,beach,shorts,bikini,1,-3.4420193761824103,0.032,0.032
3,500,beach,jacket,jeans,1,-3.575550768806933,0.028,0.028
3,500,beach,jacket,jeans,0,-0.028399474521698,0.028,0.972
3,500,beach,jacket,jeans,1,-3.575550768806933,0.028,0.028
3,500,beach,bikini,shorts,1,-1.0966142860054364,0.334,0.334
