set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,chalk,pen,1,-0.09431067947124129,0.91,0.91
3,500,bag,pen,makeup,1,-2.3025850929940455,0.1,0.1
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,headphones,makeup,1,-0.1960148839259572,0.822,0.822
3,500,bag,headphones,pen,1,-0.01005033585350145,0.99,0.99
3,500,bag,headphones,chalk,1,-0.164874643190234,0.848,0.848
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,pen,chalk,0,-0.10536051565782628,0.1,0.9
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,headphones,makeup,1,-0.1960148839259572,0.822,0.822
3,500,bag,pen,makeup,0,-0.10536051565782628,0.1,0.9
3,500,bag,pen,chalk,1,-2.3025850929940455,0.1,0.1
3,500,bag,headphones,pen,1,-0.01005033585350145,0.99,0.99
3,500,bag,chalk,headphones,1,-1.8838747581358606,0.152,0.152
3,500,bag,makeup,pen,1,-0.09211528890780563,0.912,0.912
3,500,bag,pen,headphones,0,-0.012072581234269249,0.012,0.988
3,500,bag,pen,chalk,0,-0.10536051565782628,0.1,0.9
3,500,bag,pen,chalk,1,-2.3025850929940455,0.1,0.1
3,500,bag,pen,makeup,0,-0.10536051565782628,0.1,0.9
3,500,bag,pen,headphones,0,-0.012072581234269249,0.012,0.988
3,500,bag,headphones,makeup,0,-1.7259717286900516,0.822,0.17800000000000005
3,500,bag,pen,chalk,1,-2.3025850929940455,0.1,0.1
3,500,bag,pen,chalk,1,-2.3025850929940455,0.1,0.1
3,500,bag,pen,chalk,1,-2.3025850929940455,0.1,0.1
3,500,bag,chalk,makeup,1,-0.7298111649315367,0.482,0.482
3,500,bag,headphones,chalk,0,-1.8838747581358604,0.848,0.15200000000000002
3,500,bag,pen,headphones,0,-0.012072581234269249,0.012,0.988
3,500,bag,makeup,pen,1,-0.09211528890780563,0.912,0.912
3,500,bag,pen,chalk,1,-2.3025850929940455,0.1,0.1
3,500,bag,pen,chalk,1,-2.3025850929940455,0.1,0.1
3,500,bag,pen,chalk,1,-2.3025850929940455,0.1,0.1
3,500,bag,pen,chalk,1,-2.3025850929940455,0.1,0.1
