set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,chalk,pen,1,-0.2484613592984996,0.78,0.78
3,500,bag,crayons,chalk,1,-0.13696585507315742,0.872,0.872
3,500,bag,pen,makeup,1,-1.760260802168684,0.172,0.172
3,500,bag,cash,headphones,0,-0.016129381929883644,0.016,0.984
3,500,bag,headphones,cash,0,-4.135166556742355,0.984,0.016000000000000014
3,500,bag,headphones,makeup,0,-1.995100393246085,0.864,0.136
3,500,bag,chalk,crayons,1,-2.05572501506252,0.128,0.128
3,500,bag,crayons,chalk,1,-0.13696585507315742,0.872,0.872
3,500,bag,headphones,makeup,0,-1.995100393246085,0.864,0.136
3,500,bag,headphones,makeup,1,-0.14618251017808145,0.864,0.864
3,500,bag,crayons,chalk,1,-0.13696585507315742,0.872,0.872
3,500,bag,headphones,pen,1,-0.03252319170556006,0.968,0.968
3,500,bag,cash,headphones,0,-0.016129381929883644,0.016,0.984
3,500,bag,headphones,chalk,1,-0.10092591858996053,0.904,0.904
3,500,bag,headphones,makeup,0,-1.995100393246085,0.864,0.136
3,500,bag,cash,chalk,1,-2.3025850929940455,0.1,0.1
3,500,bag,crayons,headphones,1,-0.8627499649461252,0.422,0.422
3,500,bag,crayons,makeup,0,-1.897119984885881,0.85,0.15000000000000002
3,500,bag,crayons,cash,0,-4.017383521085971,0.982,0.018000000000000016
3,500,bag,pen,chalk,0,-0.2484613592984996,0.22,0.78
3,500,bag,crayons,pen,1,-0.044997365930735805,0.956,0.956
3,500,bag,headphones,makeup,0,-1.995100393246085,0.864,0.136
3,500,bag,headphones,makeup,0,-1.995100393246085,0.864,0.136
3,500,bag,cash,makeup,1,-2.4534079827286295,0.086,0.086
3,500,bag,makeup,cash,1,-0.08992470752798701,0.914,0.914
3,500,bag,pen,crayons,1,-3.123565645063876,0.044,0.044
3,500,bag,headphones,makeup,1,-0.14618251017808145,0.864,0.864
3,500,bag,pen,makeup,0,-0.18874212459687728,0.172,0.8280000000000001
3,500,bag,pen,chalk,1,-1.5141277326297755,0.22,0.22
3,500,bag,headphones,pen,1,-0.03252319170556006,0.968,0.968
3,500,bag,chalk,headphones,1,-2.3434070875143007,0.096,0.096
3,500,bag,cash,makeup,0,-0.08992470752798701,0.086,0.914
3,500,bag,cash,makeup,0,-0.08992470752798701,0.086,0.914
3,500,bag,headphones,cash,1,-0.016129381929883644,0.984,0.984
3,500,bag,crayons,chalk,1,-0.13696585507315742,0.872,0.872
3,500,bag,crayons,chalk,1,-0.13696585507315742,0.872,0.872
3,500,bag,headphones,cash,0,-4.135166556742355,0.984,0.016000000000000014
