context,query,trigger,query_count,trigger_count,query_sampler_probability,trigger_sampler_probability,query_context_probability,trigger_context_probability,prob_query_above_trigger_exact,human_neg_rate,human_trial_count,prob_query_above_trigger_empirical,ordering_result_rows,ordering_boundaries,empirical_minus_exact
bag,chalk,cash,2472767,21314502,0.004056273301891426,0.03496384633316095,0.07142745726817296,0.6156830307090748,0.10395337943166154,1.0,5,0.098,5,1,-0.005953379431661535
bag,crayons,cash,329858,21314502,0.0005410919018311479,0.03496384633316095,0.00952815942608624,0.6156830307090748,0.015239905453429901,1.0,2,0.002,2,1,-0.013239905453429901
bag,headphones,cash,210580,21314502,0.00034543086021137314,0.03496384633316095,0.006082738062879301,0.6156830307090748,0.009783005704693716,0.0,3,0.002,3,1,-0.007783005704693716
bag,makeup,cash,1730387,21314502,0.0028384892673025803,0.03496384633316095,0.0499833358743068,0.6156830307090748,0.07508766911396275,0.10526315789473684,19,0.074,19,1,-0.0010876691139627553
bag,pen,cash,8561184,21314502,0.014043580366358839,0.03496384633316095,0.24729527865947984,0.6156830307090748,0.28656024835714233,1.0,5,0.316,5,1,0.02943975164285767
bag,cash,chalk,21314502,2472767,0.03496384633316095,0.004056273301891426,0.6156830307090748,0.07142745726817296,0.8960466205683385,0.0,6,0.902,6,1,0.005953379431661521
bag,crayons,chalk,329858,2472767,0.0005410919018311479,0.004056273301891426,0.00952815942608624,0.07142745726817296,0.11769608848847063,1.0,6,0.106,6,1,-0.011696088488470632
bag,headphones,chalk,210580,2472767,0.00034543086021137314,0.004056273301891426,0.006082738062879301,0.07142745726817296,0.07847661893895944,0.2,5,0.092,5,1,0.013523381061040562
bag,makeup,chalk,1730387,2472767,0.0028384892673025803,0.004056273301891426,0.0499833358743068,0.07142745726817296,0.41168774686818516,0.2,5,0.44400000000000006,5,1,0.032312253131814905
bag,pen,chalk,8561184,2472767,0.014043580366358839,0.004056273301891426,0.24729527865947984,0.07142745726817296,0.7758946908500862,1.0,5,0.798,5,1,0.02210530914991382
bag,cash,crayons,21314502,329858,0.03496384633316095,0.0005410919018311479,0.6156830307090748,0.00952815942608624,0.9847600945465701,0.0,5,0.998,5,1,0.013239905453429901
bag,chalk,crayons,2472767,329858,0.004056273301891426,0.0005410919018311479,0.07142745726817296,0.00952815942608624,0.8823039115115293,0.8888888888888888,18,0.8939999999999999,18,1,0.01169608848847059
bag,headphones,crayons,210580,329858,0.00034543086021137314,0.0005410919018311479,0.006082738062879301,0.00952815942608624,0.389646916019969,0.25,4,0.384,4,1,-0.005646916019968973
bag,makeup,crayons,1730387,329858,0.0028384892673025803,0.0005410919018311479,0.0499833358743068,0.00952815942608624,0.8398937990384638,0.0,5,0.8539999999999999,5,1,0.01410620096153603
bag,pen,crayons,8561184,329858,0.014043580366358839,0.0005410919018311479,0.24729527865947984,0.00952815942608624,0.9628999615568119,1.0,4,0.976,4,1,0.013100038443188078
bag,cash,headphones,21314502,210580,0.03496384633316095,0.00034543086021137314,0.6156830307090748,0.006082738062879301,0.9902169942953063,0.14285714285714285,14,0.998,14,1,0.007783005704693702
bag,chalk,headphones,2472767,210580,0.004056273301891426,0.00034543086021137314,0.07142745726817296,0.006082738062879301,0.9215233810610406,0.4,5,0.908,5,1,-0.013523381061040562
bag,crayons,headphones,329858,210580,0.0005410919018311479,0.00034543086021137314,0.00952815942608624,0.006082738062879301,0.610353083980031,1.0,3,0.616,3,1,0.005646916019969028
bag,makeup,headphones,1730387,210580,0.0028384892673025803,0.00034543086021137314,0.0499833358743068,0.006082738062879301,0.8915076866324878,0.21052631578947367,19,0.888,19,1,-0.0035076866324877942
bag,pen,headphones,8561184,210580,0.014043580366358839,0.00034543086021137314,0.24729527865947984,0.006082738062879301,0.9759934261797285,1.0,5,0.984,5,1,0.008006573820271479
bag,cash,makeup,21314502,1730387,0.03496384633316095,0.0028384892673025803,0.6156830307090748,0.0499833358743068,0.9249123308860372,0.2,5,0.9259999999999999,5,1,0.0010876691139627415
bag,chalk,makeup,2472767,1730387,0.004056273301891426,0.0028384892673025803,0.07142745726817296,0.0499833358743068,0.5883122531318148,1.0,2,0.556,2,1,-0.03231225313181474
bag,crayons,makeup,329858,1730387,0.0005410919018311479,0.0028384892673025803,0.00952815942608624,0.0499833358743068,0.16010620096153613,1.0,2,0.146,2,1,-0.014106200961536142
bag,headphones,makeup,210580,1730387,0.00034543086021137314,0.0028384892673025803,0.006082738062879301,0.0499833358743068,0.10849231336751217,0.0,4,0.112,4,1,0.003507686632487836
bag,pen,makeup,8561184,1730387,0.014043580366358839,0.0028384892673025803,0.24729527865947984,0.0499833358743068,0.8318636678501271,1.0,3,0.82,3,1,-0.011863667850127158
bag,cash,pen,21314502,8561184,0.03496384633316095,0.014043580366358839,0.6156830307090748,0.24729527865947984,0.7134397516428577,0.0,5,0.684,5,1,-0.029439751642857614
bag,chalk,pen,2472767,8561184,0.004056273301891426,0.014043580366358839,0.07142745726817296,0.24729527865947984,0.22410530914991375,0.8571428571428571,21,0.202,21,1,-0.022105309149913738
bag,crayons,pen,329858,8561184,0.0005410919018311479,0.014043580366358839,0.00952815942608624,0.24729527865947984,0.0371000384431881,0.8823529411764706,17,0.024,17,1,-0.013100038443188099
bag,headphones,pen,210580,8561184,0.00034543086021137314,0.014043580366358839,0.006082738062879301,0.24729527865947984,0.0240065738202715,0.0,5,0.016,5,1,-0.0080065738202715
bag,makeup,pen,1730387,8561184,0.0028384892673025803,0.014043580366358839,0.0499833358743068,0.24729527865947984,0.16813633214987295,0.16666666666666666,6,0.18000000000000002,6,1,0.011863667850127074
