set_boundary,context,trigger,query,reason
3,bag,crayons,chalk,trigger_not_in_context
3,bag,cash,headphones,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,chalk,crayons,query_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,cash,headphones,trigger_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,crayons,headphones,trigger_not_in_context
3,bag,crayons,makeup,trigger_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,crayons,pen,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,makeup,crayons,query_not_in_context
3,bag,chalk,crayons,query_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,cash,pen,trigger_not_in_context
3,bag,chalk,crayons,query_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,crayons,makeup,trigger_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,cash,pen,trigger_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,headphones,crayons,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,crayons,headphones,trigger_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,makeup,crayons,query_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,headphones,crayons,query_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,pen,cash,query_not_in_context
3,bag,crayons,headphones,trigger_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,pen,trigger_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,cash,pen,trigger_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,pen,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,chalk,crayons,query_not_in_context
3,bag,crayons,makeup,trigger_not_in_context
3,bag,cash,headphones,trigger_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,crayons,makeup,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,crayons,headphones,trigger_not_in_context
3,bag,headphones,crayons,query_not_in_context
3,bag,crayons,pen,trigger_not_in_context
3,bag,cash,crayons,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,chalk,crayons,query_not_in_context
3,bag,chalk,crayons,query_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,crayons,pen,trigger_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,pen,cash,query_not_in_context
3,bag,crayons,makeup,trigger_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,pen,crayons,query_not_in_context
3,bag,crayons,chalk,trigger_not_in_context
3,bag,crayons,pen,trigger_not_in_context
3,bag,pen,cash,query_not_in_context
3,bag,cash,pen,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,pen,cash,query_not_in_context
3,bag,cash,crayons,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,water,cakes,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,pretzels,sandwiches,query_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,sandwiches,muffins,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,sandwiches,water,trigger_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,sandwiches,ice cream,trigger_not_in_context
3,bakery,sandwiches,water,trigger_not_in_context
3,bakery,cakes,water,trigger_not_in_context
3,bakery,cakes,sandwiches,query_not_in_context
3,bakery,cakes,pretzels,trigger_not_in_context
3,bakery,muffins,sandwiches,query_not_in_context
3,bakery,pretzels,sandwiches,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,muffins,cakes,query_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,sandwiches,cakes,query_not_in_context
3,bakery,sandwiches,cakes,query_not_in_context
3,bakery,pretzels,cakes,query_not_in_context
3,bakery,sandwiches,water,trigger_not_in_context
3,bakery,cakes,pretzels,trigger_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,muffins,cakes,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,sandwiches,ice cream,trigger_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,cakes,water,trigger_not_in_context
3,bakery,cakes,pretzels,trigger_not_in_context
3,bakery,muffins,cakes,query_not_in_context
3,bakery,cakes,sandwiches,query_not_in_context
3,bakery,sandwiches,cakes,query_not_in_context
3,bakery,cakes,pretzels,trigger_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,pretzels,sandwiches,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,sandwiches,water,trigger_not_in_context
3,bakery,cakes,water,trigger_not_in_context
3,bakery,muffins,cakes,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,cakes,pretzels,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,cakes,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,cakes,sandwiches,query_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,sandwiches,muffins,trigger_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,sandwiches,water,trigger_not_in_context
3,bakery,ice cream,sandwiches,query_not_in_context
3,bakery,ice cream,sandwiches,query_not_in_context
3,bakery,ice cream,sandwiches,query_not_in_context
3,bakery,pretzels,sandwiches,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,pretzels,cakes,query_not_in_context
3,bakery,sandwiches,ice cream,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,ice cream,cakes,query_not_in_context
3,bakery,pretzels,sandwiches,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,ice cream,cakes,query_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,muffins,sandwiches,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,pretzels,cakes,query_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,sandwiches,ice cream,trigger_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,sandwiches,ice cream,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,pretzels,cakes,query_not_in_context
3,bakery,ice cream,cakes,query_not_in_context
3,bakery,ice cream,cakes,query_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,ice cream,sandwiches,query_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,water,cakes,query_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,cakes,sandwiches,query_not_in_context
3,bakery,sandwiches,muffins,trigger_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,cakes,pretzels,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,muffins,cakes,query_not_in_context
3,bakery,cakes,muffins,trigger_not_in_context
3,bakery,cakes,sandwiches,query_not_in_context
3,bakery,cakes,ice cream,trigger_not_in_context
3,bakery,cakes,water,trigger_not_in_context
3,bakery,ice cream,cakes,query_not_in_context
3,bakery,pretzels,cakes,query_not_in_context
