set_boundary,context,human_rows,missing_rows,available_rows,missing_pct
3,bag,213,128,85,60.0939
3,bakery,213,139,74,65.2582
3,beach,213,127,86,59.6244
3,cold,213,173,40,81.2207
3,cut,213,213,0,100.0
3,fridge,213,0,213,0.0
3,gym,213,75,138,35.2113
3,hot,213,62,151,29.108
3,mall,213,213,0,100.0
3,mask,213,131,82,61.5023
3,meat,213,120,93,56.338
3,restaurant,213,122,91,57.277
3,salad,213,173,40,81.2207
3,science,213,0,213,0.0
3,throw,213,144,69,67.6056
3,transport,213,203,10,95.3052
