set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
5,500,bag,chalk,pen,1,-0.22564668153232822,0.798,0.798
5,500,bag,crayons,chalk,1,-0.11204950380862289,0.894,0.894
5,500,bag,pen,makeup,1,-1.7147984280919266,0.18,0.18
5,500,bag,cash,headphones,0,-0.0020020026706730793,0.002,0.998
5,500,bag,headphones,cash,0,-6.2146080984221905,0.998,0.0020000000000000018
5,500,bag,headphones,makeup,0,-2.1892564076870427,0.888,0.11199999999999999
5,500,bag,chalk,crayons,1,-2.24431618487007,0.106,0.106
5,500,bag,crayons,chalk,1,-0.11204950380862289,0.894,0.894
5,500,bag,headphones,makeup,0,-2.1892564076870427,0.888,0.11199999999999999
5,500,bag,headphones,makeup,1,-0.11878353598996698,0.888,0.888
5,500,bag,crayons,chalk,1,-0.11204950380862289,0.894,0.894
5,500,bag,headphones,pen,1,-0.016129381929883644,0.984,0.984
5,500,bag,cash,headphones,0,-0.0020020026706730793,0.002,0.998
5,500,bag,headphones,chalk,1,-0.09651090038084373,0.908,0.908
5,500,bag,headphones,makeup,0,-2.1892564076870427,0.888,0.11199999999999999
5,500,bag,cash,chalk,1,-2.322787800311565,0.098,0.098
5,500,bag,crayons,headphones,1,-0.9571127263944101,0.384,0.384
5,500,bag,crayons,makeup,0,-1.9241486572738005,0.854,0.14600000000000002
5,500,bag,crayons,cash,0,-6.2146080984221905,0.998,0.0020000000000000018
5,500,bag,pen,chalk,0,-0.22564668153232822,0.202,0.798
5,500,bag,crayons,pen,1,-0.024292692569044587,0.976,0.976
5,500,bag,headphones,makeup,0,-2.1892564076870427,0.888,0.11199999999999999
5,500,bag,headphones,makeup,0,-2.1892564076870427,0.888,0.11199999999999999
5,500,bag,cash,makeup,1,-2.6036901857779675,0.074,0.074
5,500,bag,makeup,cash,1,-0.07688104433595762,0.926,0.926
5,500,bag,pen,crayons,1,-3.7297014486341915,0.024,0.024
5,500,bag,headphones,makeup,1,-0.11878353598996698,0.888,0.888
5,500,bag,pen,makeup,0,-0.19845093872383818,0.18,0.8200000000000001
5,500,bag,pen,chalk,1,-1.5994875815809322,0.202,0.202
5,500,bag,headphones,pen,1,-0.016129381929883644,0.984,0.984
5,500,bag,chalk,headphones,1,-2.385966701933097,0.092,0.092
5,500,bag,cash,makeup,0,-0.07688104433595762,0.074,0.926
5,500,bag,cash,makeup,0,-0.07688104433595762,0.074,0.926
5,500,bag,headphones,cash,1,-0.0020020026706730793,0.998,0.998
5,500,bag,crayons,chalk,1,-0.11204950380862289,0.894,0.894
5,500,bag,crayons,chalk,1,-0.11204950380862289,0.894,0.894
5,500,bag,headphones,cash,0,-6.2146080984221905,0.998,0.0020000000000000018
5,500,bag,makeup,crayons,1,-1.9241486572738007,0.146,0.146
5,500,bag,makeup,pen,1,-0.19845093872383832,0.82,0.82
5,500,bag,chalk,crayons,1,-2.24431618487007,0.106,0.106
5,500,bag,pen,headphones,0,-0.016129381929883644,0.016,0.984
5,500,bag,pen,crayons,0,-0.024292692569044587,0.024,0.976
5,500,bag,chalk,cash,0,-2.3227878003115654,0.902,0.09799999999999998
5,500,bag,pen,chalk,0,-0.22564668153232822,0.202,0.798
5,500,bag,cash,pen,1,-1.152013065395225,0.316,0.316
5,500,bag,chalk,crayons,1,-2.24431618487007,0.106,0.106
5,500,bag,pen,chalk,1,-1.5994875815809322,0.202,0.202
5,500,bag,pen,crayons,1,-3.7297014486341915,0.024,0.024
5,500,bag,headphones,cash,0,-6.2146080984221905,0.998,0.0020000000000000018
5,500,bag,headphones,cash,0,-6.2146080984221905,0.998,0.0020000000000000018
5,500,bag,cash,makeup,0,-0.07688104433595762,0.074,0.926
5,500,bag,pen,makeup,0,-0.19845093872383818,0.18,0.8200000000000001
5,500,bag,cash,makeup,0,-0.07688104433595762,0.074,0.926
5,500,bag,pen,headphones,0,-0.016129381929883644,0.016,0.984
5,500,bag,headphones,makeup,0,-2.1892564076870427,0.888,0.11199999999999999
5,500,bag,headphones,cash,0,-6.2146080984221905,0.998,0.0020000000000000018
5,500,bag,cash,makeup,0,-0.07688104433595762,0.074,0.926
5,500,bag,crayons,chalk,0,-2.24431618487007,0.894,0.10599999999999998
