set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,chalk,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,pen,makeup,1,-3.1700856606987684,0.042,0.042
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,makeup,1,-3.1700856606987684,0.042,0.042
3,500,bag,headphones,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,headphones,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,chalk,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,makeup,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,headphones,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,chalk,headphones,1,-5.115995809754082,0.006,0.006
3,500,bag,makeup,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,pen,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,chalk,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,chalk,makeup,1,-3.1700856606987684,0.042,0.042
3,500,bag,headphones,chalk,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,makeup,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,headphones,chalk,0,-0.04290750101127654,0.042,0.958
3,500,bag,chalk,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,chalk,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,makeup,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,makeup,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,chalk,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,chalk,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,chalk,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,chalk,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,chalk,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,chalk,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,headphones,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,headphones,makeup,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,chalk,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,headphones,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,makeup,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,headphones,makeup,1,-3.1700856606987684,0.042,0.042
3,500,bag,makeup,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,chalk,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,makeup,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,makeup,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,chalk,0,-0.04290750101127654,0.042,0.958
3,500,bag,chalk,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,chalk,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,headphones,chalk,0,-0.04290750101127654,0.042,0.958
3,500,bag,pen,chalk,1,-3.1700856606987684,0.042,0.042
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bag,makeup,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,headphones,makeup,0,-0.04290750101127654,0.042,0.958
3,500,bakery,ice cream,muffins,0,-0.07904320734045284,0.076,0.924
3,500,bakery,water,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,water,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,pretzels,muffins,1,-2.5770219386958058,0.076,0.076
3,500,bakery,ice cream,muffins,0,-0.07904320734045284,0.076,0.924
3,500,bakery,pretzels,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,water,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,water,pretzels,1,-3.816712825623821,0.022,0.022
3,500,bakery,water,pretzels,1,-3.816712825623821,0.022,0.022
3,500,bakery,pretzels,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,muffins,pretzels,1,-3.816712825623821,0.022,0.022
3,500,bakery,muffins,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,muffins,pretzels,1,-3.816712825623821,0.022,0.022
3,500,bakery,water,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,ice cream,muffins,0,-0.07904320734045284,0.076,0.924
3,500,bakery,water,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,ice cream,muffins,1,-2.5770219386958058,0.076,0.076
3,500,bakery,water,muffins,1,-2.5770219386958058,0.076,0.076
3,500,bakery,ice cream,muffins,1,-2.5770219386958058,0.076,0.076
3,500,bakery,water,muffins,1,-2.5770219386958058,0.076,0.076
3,500,bakery,ice cream,muffins,1,-2.5770219386958058,0.076,0.076
3,500,bakery,muffins,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,water,pretzels,1,-3.816712825623821,0.022,0.022
3,500,bakery,pretzels,muffins,1,-2.5770219386958058,0.076,0.076
3,500,bakery,water,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,ice cream,muffins,1,-2.5770219386958058,0.076,0.076
3,500,bakery,ice cream,muffins,1,-2.5770219386958058,0.076,0.076
3,500,bakery,muffins,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,ice cream,water,1,-5.115995809754082,0.006,0.006
3,500,bakery,ice cream,muffins,0,-0.07904320734045284,0.076,0.924
3,500,bakery,water,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,ice cream,muffins,0,-0.07904320734045284,0.076,0.924
3,500,bakery,ice cream,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,ice cream,muffins,1,-2.5770219386958058,0.076,0.076
3,500,bakery,water,pretzels,0,-0.022245608947319737,0.022,0.978
3,500,bakery,pretzels,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,ice cream,water,0,-0.006018072325563021,0.006,0.994
3,500,bakery,water,ice cream,1,-2.4534079827286295,0.086,0.086
3,500,bakery,water,ice cream,0,-0.08992470752798701,0.086,0.914
