story,trigger,query,neg_proportion_H1,neg_proportion_H2
bag,a pen,cash,0.0,0.0
bag,a pen,chalk,0.7272727272727273,1.0
bag,a pen,crayons,0.7777777777777778,1.0
bag,a pen,headphones,0.0,0.0
bag,a pen,makeup,0.3333333333333333,0.0
bag,cash,a pen,1.0,1.0
bag,cash,chalk,1.0,1.0
bag,cash,crayons,1.0,1.0
bag,cash,headphones,0.0,0.0
bag,cash,makeup,0.2,0.0
bag,chalk,a pen,1.0,1.0
bag,chalk,cash,0.0,0.0
bag,chalk,crayons,1.0,1.0
bag,chalk,headphones,0.0,0.5
bag,chalk,makeup,0.3333333333333333,0.0
bag,crayons,a pen,1.0,1.0
bag,crayons,cash,0.0,0.0
bag,crayons,chalk,0.7777777777777778,1.0
bag,crayons,headphones,0.5,0.0
bag,crayons,makeup,0.0,0.0
bag,headphones,a pen,1.0,1.0
bag,headphones,cash,0.14285714285714285,0.14285714285714285
bag,headphones,chalk,0.3333333333333333,0.5
bag,headphones,crayons,1.0,1.0
bag,headphones,makeup,0.3,0.1111111111111111
bag,makeup,a pen,1.0,1.0
bag,makeup,cash,0.0,0.5
bag,makeup,chalk,1.0,1.0
bag,makeup,crayons,1.0,1.0
bag,makeup,headphones,0.0,0.0
bakery,cakes,ice cream,0.7,1.0
bakery,cakes,muffins,0.8888888888888888,0.8888888888888888
bakery,cakes,pretzels,0.3333333333333333,0.6666666666666666
bakery,cakes,sandwiches,0.3333333333333333,0.5
bakery,cakes,water,0.0,0.0
bakery,ice cream,cakes,1.0,1.0
bakery,ice cream,muffins,0.5555555555555556,0.625
bakery,ice cream,pretzels,0.0,1.0
bakery,ice cream,sandwiches,0.5,0.0
bakery,ice cream,water,0.3333333333333333,0.0
bakery,muffins,cakes,1.0,1.0
bakery,muffins,ice cream,1.0,1.0
bakery,muffins,pretzels,0.3333333333333333,0.5
bakery,muffins,sandwiches,0.0,0.0
bakery,muffins,water,0.0,0.0
bakery,pretzels,cakes,1.0,1.0
bakery,pretzels,ice cream,1.0,1.0
bakery,pretzels,muffins,1.0,1.0
bakery,pretzels,sandwiches,0.3333333333333333,0.5
bakery,pretzels,water,0.0,0.0
bakery,sandwiches,cakes,1.0,1.0
bakery,sandwiches,ice cream,1.0,1.0
bakery,sandwiches,muffins,1.0,0.0
bakery,sandwiches,pretzels,0.6,0.5
bakery,sandwiches,water,0.0,0.0
bakery,water,cakes,0.5,1.0
bakery,water,ice cream,1.0,0.3333333333333333
bakery,water,muffins,0.6666666666666666,0.3333333333333333
bakery,water,pretzels,0.42857142857142855,0.6666666666666666
bakery,water,sandwiches,0.2727272727272727,0.6
beach,a bikini,a coat,0.0,1.0
beach,a bikini,a jacket,0.5,0.0
beach,a bikini,jeans,0.6666666666666666,0.3333333333333333
beach,a bikini,shorts,0.6,0.8
beach,a bikini,sunglasses,0.1111111111111111,0.2222222222222222
beach,a coat,a bikini,1.0,1.0
beach,a coat,a jacket,0.3333333333333333,0.8
beach,a coat,jeans,0.75,0.25
beach,a coat,shorts,1.0,1.0
beach,a coat,sunglasses,0.0,0.0
beach,a jacket,a bikini,1.0,1.0
beach,a jacket,a coat,1.0,1.0
beach,a jacket,jeans,0.7,0.2
beach,a jacket,shorts,0.6666666666666666,0.5
beach,a jacket,sunglasses,0.5,0.5
beach,jeans,a bikini,1.0,1.0
beach,jeans,a coat,0.6666666666666666,0.5
beach,jeans,a jacket,0.0,0.0
beach,jeans,shorts,1.0,1.0
beach,jeans,sunglasses,0.5,0.0
beach,shorts,a bikini,0.5,1.0
beach,shorts,a coat,1.0,0.5
beach,shorts,a jacket,0.5,0.0
beach,shorts,jeans,0.6666666666666666,0.5
beach,shorts,sunglasses,0.2,0.1
beach,sunglasses,a bikini,1.0,1.0
beach,sunglasses,a coat,0.0,0.0
beach,sunglasses,a jacket,0.6666666666666666,1.0
beach,sunglasses,jeans,0.6666666666666666,0.3333333333333333
beach,sunglasses,shorts,0.5,0.5
cold,a fridge,a heater,0.6666666666666666,1.0
cold,a fridge,a microwave,0.8571428571428571,0.5
cold,a fridge,a sink,0.2727272727272727,0.2
cold,a fridge,blankets,0.5,0.0
cold,a fridge,tea,0.3333333333333333,0.6666666666666666
cold,a heater,a fridge,0.0,0.0
cold,a heater,a microwave,0.3333333333333333,0.0
cold,a heater,a sink,0.0,0.0
cold,a heater,blankets,0.8888888888888888,0.7777777777777778
cold,a heater,tea,0.0,0.25
cold,a microwave,a fridge,0.5,0.5
cold,a microwave,a heater,1.0,1.0
cold,a microwave,a sink,0.0,0.0
cold,a microwave,blankets,0.6666666666666666,0.5
cold,a microwave,tea,0.3333333333333333,0.0
cold,a sink,a fridge,0.0,0.5
cold,a sink,a heater,1.0,1.0
cold,a sink,a microwave,0.5555555555555556,0.5
cold,a sink,blankets,0.5,0.0
cold,a sink,tea,0.0,0.0
cold,blankets,a fridge,0.0,0.0
cold,blankets,a heater,1.0,1.0
cold,blankets,a microwave,0.0,0.0
cold,blankets,a sink,0.0,0.0
cold,blankets,tea,0.3,0.1
cold,tea,a fridge,0.0,0.0
cold,tea,a heater,0.6666666666666666,0.3333333333333333
cold,tea,a microwave,0.0,0.0
cold,tea,a sink,0.0,0.0
cold,tea,blankets,0.3333333333333333,1.0
cut,a stapler,batteries,0.0,0.0
cut,a stapler,keys,0.3333333333333333,0.0
cut,a stapler,nail clippers,0.6666666666666666,0.6666666666666666
cut,a stapler,scissors,1.0,1.0
cut,a stapler,thumb tacks,0.1111111111111111,0.125
cut,batteries,a stapler,0.4444444444444444,0.4444444444444444
cut,batteries,keys,0.0,0.3333333333333333
cut,batteries,nail clippers,0.6666666666666666,1.0
cut,batteries,scissors,1.0,0.5
cut,batteries,thumb tacks,0.36363636363636365,0.4
cut,keys,a stapler,0.0,0.5
cut,keys,batteries,0.5,0.0
cut,keys,nail clippers,0.6666666666666666,1.0
cut,keys,scissors,1.0,1.0
cut,keys,thumb tacks,0.3333333333333333,0.0
cut,nail clippers,a stapler,1.0,0.0
cut,nail clippers,batteries,0.0,0.0
cut,nail clippers,keys,0.25,0.375
cut,nail clippers,scissors,1.0,1.0
cut,nail clippers,thumb tacks,0.5,1.0
cut,scissors,a stapler,0.0,0.3333333333333333
cut,scissors,batteries,0.0,0.0
cut,scissors,keys,0.1,0.2
cut,scissors,nail clippers,0.8333333333333334,0.4
cut,scissors,thumb tacks,0.0,0.0
cut,thumb tacks,a stapler,0.0,0.0
cut,thumb tacks,batteries,0.0,0.0
cut,thumb tacks,keys,0.0,1.0
cut,thumb tacks,nail clippers,0.6666666666666666,0.5
cut,thumb tacks,scissors,1.0,0.5
fridge,juice,ketchup,0.3333333333333333,0.3333333333333333
fridge,juice,meat,0.0,0.0
fridge,juice,milk,1.0,1.0
fridge,juice,water,1.0,1.0
fridge,juice,yogurt,0.0,0.0
fridge,ketchup,juice,1.0,1.0
fridge,ketchup,meat,0.0,0.0
fridge,ketchup,milk,1.0,1.0
fridge,ketchup,water,1.0,1.0
fridge,ketchup,yogurt,0.3333333333333333,0.1111111111111111
fridge,meat,juice,1.0,1.0
fridge,meat,ketchup,0.2222222222222222,0.1111111111111111
fridge,meat,milk,0.5,1.0
fridge,meat,water,1.0,1.0
fridge,meat,yogurt,0.5,0.75
fridge,milk,juice,1.0,1.0
fridge,milk,ketchup,0.0,0.0
fridge,milk,meat,0.0,0.0
fridge,milk,water,1.0,0.6666666666666666
fridge,milk,yogurt,0.0,0.5
fridge,water,juice,1.0,1.0
fridge,water,ketchup,0.0,0.0
fridge,water,meat,0.0,0.0
fridge,water,milk,0.8888888888888888,1.0
fridge,water,yogurt,0.0,0.0
fridge,yogurt,juice,1.0,1.0
fridge,yogurt,ketchup,0.0,0.5
fridge,yogurt,meat,0.3333333333333333,0.5
fridge,yogurt,milk,0.5,1.0
fridge,yogurt,water,1.0,1.0
gym,basketball,lacrosse,0.875,1.0
gym,basketball,meditation,0.0,0.0
gym,basketball,softball,1.0,0.8
gym,basketball,swimming,0.6666666666666666,0.0
gym,basketball,weightlifting,1.0,0.5
gym,lacrosse,basketball,1.0,1.0
gym,lacrosse,meditation,0.0,0.0
gym,lacrosse,softball,1.0,1.0
gym,lacrosse,swimming,0.5,0.0
gym,lacrosse,weightlifting,0.5,1.0
gym,meditation,basketball,0.5,1.0
gym,meditation,lacrosse,1.0,1.0
gym,meditation,softball,1.0,1.0
gym,meditation,swimming,0.7,0.8888888888888888
gym,meditation,weightlifting,0.5,0.6
gym,softball,basketball,1.0,1.0
gym,softball,lacrosse,0.9,1.0
gym,softball,meditation,0.6666666666666666,0.5
gym,softball,swimming,0.6666666666666666,1.0
gym,softball,weightlifting,0.0,1.0
gym,swimming,basketball,1.0,1.0
gym,swimming,lacrosse,1.0,1.0
gym,swimming,meditation,0.0,0.0
gym,swimming,softball,1.0,0.5
gym,swimming,weightlifting,0.3333333333333333,0.5
gym,weightlifting,basketball,1.0,1.0
gym,weightlifting,lacrosse,1.0,1.0
gym,weightlifting,meditation,1.0,1.0
gym,weightlifting,softball,0.6666666666666666,1.0
gym,weightlifting,swimming,0.7,1.0
