set_boundary,num_reps,context,trigger,query,neg,log_likelihood,empirical_probability
3,500,bag,chalk,pen,1,-2.1892564076870427,0.112
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,chalk,makeup,0,-0.006018072325563021,0.006
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,cash,makeup,1,-5.115995809754082,0.006
3,500,bag,chalk,pen,1,-2.1892564076870427,0.112
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,pen,makeup,0,-0.006018072325563021,0.006
3,500,bag,cash,pen,1,-2.1892564076870427,0.112
3,500,bag,cash,pen,1,-2.1892564076870427,0.112
3,500,bag,cash,chalk,1,-6.214608098422191,0.002
3,500,bag,makeup,cash,0,-0.012072581234269249,0.012
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,pen,cash,0,-0.012072581234269249,0.012
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,pen,makeup,0,-0.006018072325563021,0.006
3,500,bag,makeup,chalk,1,-6.214608098422191,0.002
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,chalk,pen,1,-2.1892564076870427,0.112
3,500,bag,makeup,cash,0,-0.012072581234269249,0.012
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,makeup,chalk,1,-6.214608098422191,0.002
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,cash,pen,1,-2.1892564076870427,0.112
3,500,bag,pen,cash,0,-0.012072581234269249,0.012
3,500,bag,pen,chalk,0,-0.0020020026706730793,0.002
3,500,bag,chalk,pen,1,-2.1892564076870427,0.112
3,500,bag,chalk,makeup,0,-0.006018072325563021,0.006
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,pen,cash,0,-0.012072581234269249,0.012
3,500,bag,chalk,cash,0,-0.012072581234269249,0.012
3,500,bag,makeup,pen,1,-2.1892564076870427,0.112
3,500,bag,chalk,makeup,0,-0.006018072325563021,0.006
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,chalk,cash,0,-0.012072581234269249,0.012
3,500,bag,cash,chalk,1,-6.214608098422191,0.002
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,pen,cash,0,-0.012072581234269249,0.012
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,pen,makeup,0,-0.006018072325563021,0.006
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,makeup,pen,1,-2.1892564076870427,0.112
3,500,bag,chalk,cash,0,-0.012072581234269249,0.012
3,500,bag,pen,chalk,0,-0.0020020026706730793,0.002
3,500,bag,cash,pen,1,-2.1892564076870427,0.112
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,makeup,cash,1,-4.422848629194137,0.012
3,500,bag,pen,makeup,1,-5.115995809754082,0.006
3,500,bag,cash,makeup,1,-5.115995809754082,0.006
3,500,bag,cash,chalk,1,-6.214608098422191,0.002
3,500,bag,pen,chalk,0,-0.0020020026706730793,0.002
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,chalk,cash,0,-0.012072581234269249,0.012
3,500,bag,pen,makeup,0,-0.006018072325563021,0.006
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,cash,chalk,1,-6.214608098422191,0.002
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,chalk,cash,0,-0.012072581234269249,0.012
3,500,bag,chalk,pen,1,-2.1892564076870427,0.112
3,500,bag,cash,chalk,1,-6.214608098422191,0.002
3,500,bag,chalk,makeup,0,-0.006018072325563021,0.006
3,500,bag,pen,makeup,0,-0.006018072325563021,0.006
3,500,bag,makeup,cash,0,-0.012072581234269249,0.012
3,500,bag,pen,cash,0,-0.012072581234269249,0.012
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,chalk,cash,0,-0.012072581234269249,0.012
3,500,bag,cash,pen,1,-2.1892564076870427,0.112
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,pen,chalk,1,-6.214608098422191,0.002
3,500,bag,chalk,makeup,1,-5.115995809754082,0.006
3,500,bag,makeup,cash,0,-0.012072581234269249,0.012
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,cash,makeup,0,-0.006018072325563021,0.006
3,500,bag,makeup,pen,1,-2.1892564076870427,0.112
3,500,bakery,water,sandwiches,0,-0.01816397062767118,0.018
3,500,bakery,water,sandwiches,0,-0.01816397062767118,0.018
3,500,bakery,water,sandwiches,0,-0.01816397062767118,0.018
3,500,bakery,sandwiches,water,0,-0.004008021397538822,0.004
3,500,bakery,water,sandwiches,1,-4.017383521085972,0.018
3,500,bakery,cakes,sandwiches,0,-0.01816397062767118,0.018
3,500,bakery,water,sandwiches,0,-0.01816397062767118,0.018
3,500,bakery,cakes,water,0,-0.004008021397538822,0.004
3,500,bakery,cakes,water,0,-0.004008021397538822,0.004
3,500,bakery,cakes,sandwiches,1,-4.017383521085972,0.018
3,500,bakery,water,sandwiches,0,-0.01816397062767118,0.018
3,500,bakery,water,cakes,1,-2.05572501506252,0.128
3,500,bakery,water,sandwiches,1,-4.017383521085972,0.018
3,500,bakery,water,sandwiches,1,-4.017383521085972,0.018
3,500,bakery,cakes,sandwiches,0,-0.01816397062767118,0.018
3,500,bakery,water,sandwiches,0,-0.01816397062767118,0.018
3,500,bakery,water,sandwiches,0,-0.01816397062767118,0.018
3,500,bakery,sandwiches,cakes,1,-2.05572501506252,0.128
3,500,bakery,sandwiches,cakes,1,-2.05572501506252,0.128
3,500,bakery,sandwiches,water,0,-0.004008021397538822,0.004
3,500,bakery,cakes,water,0,-0.004008021397538822,0.004
3,500,bakery,water,cakes,1,-2.05572501506252,0.128
3,500,bakery,water,sandwiches,0,-0.01816397062767118,0.018
3,500,bakery,water,sandwiches,0,-0.01816397062767118,0.018
3,500,bakery,sandwiches,water,0,-0.004008021397538822,0.004
3,500,bakery,water,sandwiches,0,-0.01816397062767118,0.018
3,500,bakery,sandwiches,water,0,-0.004008021397538822,0.004
3,500,bakery,water,sandwiches,1,-4.017383521085972,0.018
3,500,bakery,cakes,water,0,-0.004008021397538822,0.004
3,500,bakery,water,sandwiches,1,-4.017383521085972,0.018
3,500,bakery,water,sandwiches,1,-4.017383521085972,0.018
3,500,bakery,water,sandwiches,1,-4.017383521085972,0.018
3,500,bakery,water,cakes,0,-0.13696585507315742,0.128
3,500,bakery,water,sandwiches,0,-0.01816397062767118,0.018
3,500,bakery,water,sandwiches,1,-4.017383521085972,0.018
3,500,bakery,cakes,sandwiches,1,-4.017383521085972,0.018
3,500,bakery,sandwiches,water,0,-0.004008021397538822,0.004
3,500,bakery,cakes,water,0,-0.004008021397538822,0.004
3,500,bakery,cakes,sandwiches,0,-0.01816397062767118,0.018
3,500,bakery,sandwiches,cakes,1,-2.05572501506252,0.128
3,500,bakery,water,sandwiches,1,-4.017383521085972,0.018
3,500,bakery,water,sandwiches,0,-0.01816397062767118,0.018
3,500,beach,bikini,shorts,0,-2.24431618487007,0.894
3,500,beach,jeans,sunglasses,1,-23.025850929940457,0.0
3,500,beach,coat,jeans,1,-0.2744368457017603,0.76
3,500,beach,coat,jeans,0,-1.4271163556401458,0.76
3,500,beach,shorts,jacket,0,0.0,0.0
3,500,beach,shorts,coat,1,-23.025850929940457,0.0
3,500,beach,sunglasses,jacket,1,-23.025850929940457,0.0
3,500,beach,bikini,shorts,0,-2.24431618487007,0.894
3,500,beach,bikini,sunglasses,0,0.0,0.0
3,500,beach,jacket,jeans,1,-0.2744368457017603,0.76
3,500,beach,shorts,sunglasses,0,0.0,0.0
3,500,beach,shorts,sunglasses,0,0.0,0.0
3,500,beach,shorts,sunglasses,0,0.0,0.0
3,500,beach,coat,jacket,0,0.0,0.0
3,500,beach,bikini,jacket,0,0.0,0.0
3,500,beach,coat,jeans,0,-1.4271163556401458,0.76
3,500,beach,shorts,sunglasses,1,-23.025850929940457,0.0
3,500,beach,sunglasses,shorts,0,-2.3227878003115654,0.902
3,500,beach,jacket,jeans,0,-1.4271163556401458,0.76
3,500,beach,sunglasses,bikini,1,-3.649658740960655,0.026
3,500,beach,jacket,shorts,1,-0.10314075891951337,0.902
3,500,beach,jeans,jacket,0,0.0,0.0
3,500,beach,shorts,jeans,0,-0.4034671054454914,0.332
3,500,beach,jacket,jeans,1,-0.2744368457017603,0.76
3,500,beach,jacket,jeans,0,-1.4271163556401458,0.76
3,500,beach,sunglasses,jeans,0,-1.4271163556401458,0.76
3,500,beach,coat,jeans,0,-1.4271163556401458,0.76
3,500,beach,bikini,sunglasses,0,0.0,0.0
3,500,beach,coat,sunglasses,0,0.0,0.0
3,500,beach,shorts,sunglasses,0,0.0,0.0
3,500,beach,coat,jeans,0,-1.4271163556401458,0.76
3,500,beach,bikini,sunglasses,1,-23.025850929940457,0.0
