set_boundary,num_reps,context,trigger,query,neg,log_likelihood,empirical_probability
3,500,bag,chalk,pen,1,-0.012072581234269249,0.988
3,500,bag,cash,makeup,0,-0.47160491061270937,0.376
3,500,bag,chalk,makeup,0,-1.8451602459551701,0.842
3,500,bag,pen,chalk,1,-4.422848629194137,0.012
3,500,bag,cash,makeup,0,-0.47160491061270937,0.376
3,500,bag,cash,makeup,1,-0.9781661355922425,0.376
3,500,bag,chalk,pen,1,-0.012072581234269249,0.988
3,500,bag,cash,makeup,0,-0.47160491061270937,0.376
3,500,bag,pen,chalk,1,-4.422848629194137,0.012
3,500,bag,pen,makeup,0,-0.044997365930735805,0.044
3,500,bag,cash,pen,1,-0.07904320734045285,0.924
3,500,bag,cash,pen,1,-0.07904320734045285,0.924
3,500,bag,cash,chalk,1,-2.0874737133771,0.124
3,500,bag,makeup,cash,0,-0.9781661355922425,0.624
3,500,bag,cash,makeup,0,-0.47160491061270937,0.376
3,500,bag,pen,cash,0,-0.07904320734045285,0.076
3,500,bag,cash,makeup,0,-0.47160491061270937,0.376
3,500,bag,pen,makeup,0,-0.044997365930735805,0.044
3,500,bag,makeup,chalk,1,-1.8451602459551701,0.158
3,500,bag,pen,chalk,1,-4.422848629194137,0.012
3,500,bag,chalk,pen,1,-0.012072581234269249,0.988
3,500,bag,makeup,cash,0,-0.9781661355922425,0.624
3,500,bag,pen,chalk,1,-4.422848629194137,0.012
3,500,bag,makeup,chalk,1,-1.8451602459551701,0.158
3,500,bag,pen,chalk,1,-4.422848629194137,0.012
3,500,bag,cash,pen,1,-0.07904320734045285,0.924
3,500,bag,pen,cash,0,-0.07904320734045285,0.076
3,500,bag,pen,chalk,0,-0.012072581234269249,0.012
3,500,bag,chalk,pen,1,-0.012072581234269249,0.988
3,500,bag,chalk,makeup,0,-1.8451602459551701,0.842
3,500,bag,pen,chalk,1,-4.422848629194137,0.012
3,500,bag,pen,cash,0,-0.07904320734045285,0.076
3,500,bag,chalk,cash,0,-2.0874737133771,0.876
3,500,bag,makeup,pen,1,-0.044997365930735805,0.956
3,500,bag,chalk,makeup,0,-1.8451602459551701,0.842
3,500,bag,cash,makeup,0,-0.47160491061270937,0.376
3,500,bag,cash,makeup,0,-0.47160491061270937,0.376
3,500,bag,pen,chalk,1,-4.422848629194137,0.012
3,500,bag,pen,chalk,1,-4.422848629194137,0.012
3,500,bag,chalk,cash,0,-2.0874737133771,0.876
3,500,bag,cash,chalk,1,-2.0874737133771,0.124
3,500,bag,pen,chalk,1,-4.422848629194137,0.012
3,500,bag,cash,makeup,0,-0.47160491061270937,0.376
3,500,bag,pen,cash,0,-0.07904320734045285,0.076
3,500,bag,cash,makeup,0,-0.47160491061270937,0.376
3,500,bag,pen,chalk,1,-4.422848629194137,0.012
3,500,bag,pen,makeup,0,-0.044997365930735805,0.044
3,500,bag,pen,chalk,1,-4.422848629194137,0.012
3,500,bag,cash,makeup,0,-0.47160491061270937,0.376
3,500,bag,cash,makeup,0,-0.47160491061270937,0.376
3,500,bag,makeup,pen,1,-0.044997365930735805,0.956
3,500,bag,chalk,cash,0,-2.0874737133771,0.876
3,500,bag,pen,chalk,0,-0.012072581234269249,0.012
3,500,bag,cash,pen,1,-0.07904320734045285,0.924
3,500,bag,pen,chalk,1,-4.422848629194137,0.012
3,500,bag,makeup,cash,1,-0.47160491061270937,0.624
3,500,bag,pen,makeup,1,-3.123565645063876,0.044
3,500,bag,cash,makeup,1,-0.9781661355922425,0.376
3,500,bag,cash,chalk,1,-2.0874737133771,0.124
3,500,bag,pen,chalk,0,-0.012072581234269249,0.012
3,500,bag,cash,makeup,0,-0.47160491061270937,0.376
3,500,bag,chalk,cash,0,-2.0874737133771,0.876
3,500,bag,pen,makeup,0,-0.044997365930735805,0.044
3,500,bag,cash,makeup,0,-0.47160491061270937,0.376
3,500,bag,cash,chalk,1,-2.0874737133771,0.124
3,500,bag,pen,chalk,1,-4.422848629194137,0.012
3,500,bag,chalk,cash,0,-2.0874737133771,0.876
3,500,bag,chalk,pen,1,-0.012072581234269249,0.988
3,500,bag,cash,chalk,1,-2.0874737133771,0.124
3,500,bag,chalk,makeup,0,-1.8451602459551701,0.842
3,500,bag,pen,makeup,0,-0.044997365930735805,0.044
3,500,bag,makeup,cash,0,-0.9781661355922425,0.624
3,500,bag,pen,cash,0,-0.07904320734045285,0.076
