llm_name,context,n_items,spearman_rho,sum_cloze,sum_llm
GPT-2,bag,53,0.3453594933058419,5.307692307692306,6.056445380742361e-06
GPT-2,bakery,81,0.42050731480894443,5.769230769230766,9.992096528848374e-06
GPT-2,beach,90,0.3937653306607169,5.269230769230766,3.163862120472174e-05
GPT-2,fridge,38,0.40405426511223125,5.326923076923076,3.964434419141682e-06
GPT-2,gym,67,0.5825995425102746,5.999999999999997,3.131511724202873e-06
GPT-2,mall,134,0.3654976190249423,5.961538461538456,2.88680120334878e-06
GPT-2,restaurant,53,0.351747377338839,4.961538461538459,1.7856153585055487e-05
GPT-2,salad,105,0.4179777149544882,5.942307692307685,2.4469602594229377e-05
GPT-2,science,133,0.4009586874512949,5.980769230769226,3.2900569330859075e-05
GPT-2,throw,79,0.20766864885092043,5.9999999999999964,6.483584060189546e-07
Llama-3.2-3B,bag,53,0.2842810480138635,5.307692307692306,5.043920135561206e-06
Llama-3.2-3B,bakery,81,0.5942943832242493,5.769230769230766,4.690371314278669e-05
Llama-3.2-3B,beach,90,0.49306312938134345,5.269230769230766,0.0005160885722263236
Llama-3.2-3B,fridge,38,0.5787087343710837,5.326923076923076,0.0002262816781707922
Llama-3.2-3B,gym,67,0.6274687278942536,5.999999999999997,0.0001589688498885217
Llama-3.2-3B,mall,134,0.357394145736062,5.961538461538456,6.054750825978264e-05
Llama-3.2-3B,restaurant,53,0.5686717993707591,4.961538461538459,6.953993986671961e-05
Llama-3.2-3B,salad,105,0.4852672002358462,5.942307692307685,6.882172620032697e-05
Llama-3.2-3B,science,133,0.450129710353994,5.980769230769226,0.009132569719046614
Llama-3.2-3B,throw,79,0.5660399098967018,5.9999999999999964,0.00044524341807163114
Qwen2-7B,bag,53,0.5064550323591,5.307692307692306,0.004602264411569886
Qwen2-7B,bakery,81,0.6421963623201037,5.769230769230766,0.001654449558956813
Qwen2-7B,beach,90,0.5597497301037068,5.269230769230766,0.011807212472479003
Qwen2-7B,fridge,38,0.67174274945975,5.326923076923076,0.0013856549076983248
Qwen2-7B,gym,67,0.6288949921685433,5.999999999999997,0.00770671777426321
Qwen2-7B,mall,134,0.357010560152067,5.961538461538456,0.026174895836267278
Qwen2-7B,restaurant,53,0.5988447079822121,4.961538461538459,6.001787251419912e-05
Qwen2-7B,salad,105,0.48738218023018987,5.942307692307685,0.005233702183311699
Qwen2-7B,science,133,0.4216230636109739,5.980769230769226,0.07275478513841074
Qwen2-7B,throw,79,0.6139204530032528,5.9999999999999964,0.4005178276470333
DeepSeek-Coder-1.3B,bag,53,0.21694789547679813,5.307692307692306,0.000282965960262484
DeepSeek-Coder-1.3B,bakery,81,0.4742061882234845,5.769230769230766,0.0018816914419465733
DeepSeek-Coder-1.3B,beach,90,0.3862422037383785,5.269230769230766,0.0013990327554079865
DeepSeek-Coder-1.3B,fridge,38,0.6543569349424673,5.326923076923076,0.0015701281826475833
DeepSeek-Coder-1.3B,gym,67,0.4749184363936633,5.999999999999997,4.829896284303333e-05
DeepSeek-Coder-1.3B,mall,134,0.31745334301502526,5.961538461538456,0.0009489518615678485
DeepSeek-Coder-1.3B,restaurant,53,0.6103029514121229,4.961538461538459,7.268633666075952e-05
DeepSeek-Coder-1.3B,salad,105,0.40966502520116455,5.942307692307685,0.004893588125793713
DeepSeek-Coder-1.3B,science,133,0.3642774086424267,5.980769230769226,0.013704022521060271
DeepSeek-Coder-1.3B,throw,79,0.4431845942015615,5.9999999999999964,0.0013097533845255393
BERT,bag,53,0.2064452470719525,5.307692307692306,0.004762471621401419
BERT,bakery,81,0.48156599277466816,5.769230769230766,0.21230897381728783
BERT,beach,90,0.3573474535980498,5.269230769230766,0.19221579258738922
BERT,fridge,38,0.6287427196612794,5.326923076923076,0.4164852321583389
BERT,gym,67,0.5470636666559558,5.999999999999997,0.013075018824080483
BERT,mall,134,0.3982962147674191,5.961538461538456,0.005422168704418882
BERT,restaurant,53,0.6759054070917494,4.961538461538459,0.11473370324875168
BERT,salad,105,0.1817825214000987,5.942307692307685,0.28977204506377974
BERT,science,133,0.4592896338235074,5.980769230769226,0.1495830292318947
BERT,throw,79,0.2550376598972249,5.9999999999999964,0.003641543875253074
