llm_name,context,n_items,spearman_rho,kendall_tau,top1_match,sum_cloze,sum_llm
GPT-2,bag,53,0.26532078559360545,0.20283387379606632,0.0,5.307692307692306,0.015084626355117644
Llama-3.2-3B,bag,25,0.6123701845596596,0.4413838160609682,0.0,3.423076923076922,0.11254569329321341
Qwen2-7B,bag,25,0.6223555848152065,0.44444624819258793,0.0,3.423076923076922,0.048988647758960474
DeepSeek-Coder-1.3B,bag,53,0.21426678874169602,0.16149555659764211,0.0,5.307692307692306,0.028326771494088458
BERT-Large-WWM,bag,23,0.6057695820546063,0.4387258359693737,0.0,3.3653846153846145,0.4045687802135943
GPT-2,bakery,81,0.51740851010123,0.39675220839476133,1.0,5.769230769230766,0.13160931326627853
Llama-3.2-3B,bakery,61,0.7059373077199347,0.5558501729786326,1.0,5.249999999999997,0.4510871028337655
Qwen2-7B,bakery,81,0.7010846950208457,0.563959223802099,0.0,5.769230769230766,0.5572430908120299
DeepSeek-Coder-1.3B,bakery,81,0.578486541726291,0.4468417873106355,0.0,5.769230769230766,0.2467688235042521
BERT-Large-WWM,bakery,13,0.5799434281943443,0.42256142372325745,0.0,2.326923076923076,0.1788949966430664
GPT-2,beach,90,0.45964032875424354,0.3629844887624091,0.0,5.269230769230766,0.39374131649894073
Llama-3.2-3B,beach,77,0.5188461001700179,0.403537440336612,1.0,4.980769230769227,0.3990703657298857
DeepSeek-Coder-1.3B,beach,90,0.4102415624407505,0.3273821448149682,0.0,5.269230769230766,0.17028163405431634
Qwen2-7B,beach,29,0.5694089573796971,0.43803772575010924,0.0,2.3846153846153832,0.14762890338897594
BERT-Large-WWM,beach,29,0.30798264823345733,0.24077736799106325,0.0,2.4038461538461524,0.9542190358042714
GPT-2,fridge,38,0.666274499935911,0.5376285007928214,1.0,5.326923076923076,0.06793841723327992
Llama-3.2-3B,fridge,38,0.6386964302627773,0.5365001539173777,1.0,5.326923076923076,0.3986852110445218
Qwen2-7B,fridge,16,0.792650997838151,0.655423589561739,0.0,4.461538461538462,0.42799568176269465
DeepSeek-Coder-1.3B,fridge,38,0.6595328644552461,0.524837107093087,0.0,5.326923076923076,0.18522775661964916
BERT-Large-WWM,fridge,15,0.7611323710756431,0.6526397510791422,1.0,4.4423076923076925,0.997476910240948
GPT-2,gym,67,0.605604289455274,0.48125260869117864,0.0,5.999999999999997,0.05142225087111245
Llama-3.2-3B,gym,67,0.6204787999656555,0.48762355996246665,0.0,5.999999999999997,0.3099904424163223
Qwen2-7B,gym,26,0.5931206326060368,0.43990145180323975,0.0,4.615384615384615,0.3625793121755115
DeepSeek-Coder-1.3B,gym,67,0.5852287755613411,0.46144596534577964,0.0,5.999999999999997,0.06002564121426916
BERT-Large-WWM,gym,32,0.5730758536240261,0.4193076877829576,0.0,4.942307692307691,0.28159203752875284
GPT-2,mall,134,0.35459627755116774,0.27966261742546566,0.0,5.961538461538456,0.012189777638872832
Llama-3.2-3B,mall,134,0.3684961932161626,0.29218270459932644,0.0,5.961538461538456,0.35832176193214554
Qwen2-7B,mall,40,0.39256868224640756,0.31661569636022374,0.0,3.4038461538461524,0.1389489369466893
DeepSeek-Coder-1.3B,mall,134,0.33054540703853375,0.262679459613967,0.0,5.961538461538456,0.03504855681986074
BERT-Large-WWM,mall,39,0.38417239469657083,0.3061393940719138,0.0,3.1346153846153824,0.09463348767894758
GPT-2,restaurant,53,0.6249903227289026,0.4881234094057745,1.0,4.961538461538459,0.1153457557693361
Llama-3.2-3B,restaurant,24,0.5066245230056525,0.3698789295748043,1.0,4.076923076923076,0.3759837150573718
Qwen2-7B,restaurant,24,0.8541507048369312,0.701725292516142,1.0,4.076923076923076,0.1436810493469231
DeepSeek-Coder-1.3B,restaurant,13,0.4951634978032249,0.35414324743407716,0.0,2.23076923076923,0.09699440002441391
BERT-Large-WWM,restaurant,25,0.4659697444377221,0.3413335336488263,0.0,3.7307692307692295,0.6936011314392089
GPT-2,salad,105,0.27315291309580264,0.21488268711272093,0.0,5.942307692307685,1.0444852898269869e-06
Llama-3.2-3B,salad,105,0.37552100312924525,0.2911939804083008,0.0,5.942307692307685,1.551972208214946e-05
Qwen2-7B,salad,87,0.33572062192021873,0.26842058769678334,0.0,5.096153846153842,9.13652074018803e-06
DeepSeek-Coder-1.3B,salad,105,0.3080940996576319,0.2381621903504069,0.0,5.942307692307685,3.986713959160136e-06
BERT-Large-WWM,salad,33,0.03417821380927894,0.03396918204017258,0.0,2.288461538461537,0.2915329337120049
GPT-2,science,133,0.4233176905789364,0.3420204233145848,0.0,5.980769230769226,0.260659749890512
Llama-3.2-3B,science,133,0.47416748909339723,0.38622934402690123,0.0,5.980769230769226,0.34825813586862736
Qwen2-7B,science,102,0.5025995806033173,0.40922465525653307,0.0,5.326923076923073,0.7405835593362657
DeepSeek-Coder-1.3B,science,133,0.37875511918348986,0.305924016732253,0.0,5.980769230769226,0.28665196693524997
BERT-Large-WWM,science,60,0.549187690743693,0.4368689318256987,0.0,4.173076923076921,0.3923048391006875
GPT-2,throw,79,0.3479362518242164,0.27305014654280135,1.0,5.9999999999999964,0.0028059125544354687
Llama-3.2-3B,throw,79,0.6293546018470414,0.5166811557842323,0.0,5.9999999999999964,0.6111607754836361
Qwen2-7B,throw,75,0.6171557637122925,0.507253972616782,0.0,5.92307692307692,0.7403194993712646
DeepSeek-Coder-1.3B,throw,79,0.4213677964306068,0.3349254395463438,0.0,5.9999999999999964,0.047468348684070315
BERT-Large-WWM,throw,24,0.5665462028003454,0.4759656259460332,1.0,2.7884615384615374,0.26050767907872785
