set_boundary,num_reps,context,trigger,query,neg,log_likelihood,empirical_probability
3,500,bag,chalk,pen,1,-0.01816397062767118,0.982
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,chalk,makeup,0,-1.660731206821651,0.81
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,cash,makeup,1,-0.8867319296326107,0.412
3,500,bag,chalk,pen,1,-0.01816397062767118,0.982
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,pen,makeup,0,-0.04709160753385057,0.046
3,500,bag,cash,pen,1,-0.08555788836164654,0.918
3,500,bag,cash,pen,1,-0.08555788836164654,0.918
3,500,bag,cash,chalk,1,-1.9105430052180221,0.148
3,500,bag,makeup,cash,0,-0.8867319296326106,0.588
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,pen,cash,0,-0.08555788836164654,0.082
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,pen,makeup,0,-0.04709160753385057,0.046
3,500,bag,makeup,chalk,1,-1.6607312068216509,0.19
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,chalk,pen,1,-0.01816397062767118,0.982
3,500,bag,makeup,cash,0,-0.8867319296326106,0.588
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,makeup,chalk,1,-1.6607312068216509,0.19
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,cash,pen,1,-0.08555788836164654,0.918
3,500,bag,pen,cash,0,-0.08555788836164654,0.082
3,500,bag,pen,chalk,0,-0.01816397062767118,0.018
3,500,bag,chalk,pen,1,-0.01816397062767118,0.982
3,500,bag,chalk,makeup,0,-1.660731206821651,0.81
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,pen,cash,0,-0.08555788836164654,0.082
3,500,bag,chalk,cash,0,-1.910543005218022,0.852
3,500,bag,makeup,pen,1,-0.04709160753385057,0.954
3,500,bag,chalk,makeup,0,-1.660731206821651,0.81
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,chalk,cash,0,-1.910543005218022,0.852
3,500,bag,cash,chalk,1,-1.9105430052180221,0.148
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,pen,cash,0,-0.08555788836164654,0.082
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,pen,makeup,0,-0.04709160753385057,0.046
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,makeup,pen,1,-0.04709160753385057,0.954
3,500,bag,chalk,cash,0,-1.910543005218022,0.852
3,500,bag,pen,chalk,0,-0.01816397062767118,0.018
3,500,bag,cash,pen,1,-0.08555788836164654,0.918
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,makeup,cash,1,-0.5310283310835102,0.588
3,500,bag,pen,makeup,1,-3.079113882493042,0.046
3,500,bag,cash,makeup,1,-0.8867319296326107,0.412
3,500,bag,cash,chalk,1,-1.9105430052180221,0.148
3,500,bag,pen,chalk,0,-0.01816397062767118,0.018
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,chalk,cash,0,-1.910543005218022,0.852
3,500,bag,pen,makeup,0,-0.04709160753385057,0.046
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,cash,chalk,1,-1.9105430052180221,0.148
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,chalk,cash,0,-1.910543005218022,0.852
3,500,bag,chalk,pen,1,-0.01816397062767118,0.982
3,500,bag,cash,chalk,1,-1.9105430052180221,0.148
3,500,bag,chalk,makeup,0,-1.660731206821651,0.81
3,500,bag,pen,makeup,0,-0.04709160753385057,0.046
3,500,bag,makeup,cash,0,-0.8867319296326106,0.588
3,500,bag,pen,cash,0,-0.08555788836164654,0.082
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,chalk,cash,0,-1.910543005218022,0.852
3,500,bag,cash,pen,1,-0.08555788836164654,0.918
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,pen,chalk,1,-4.017383521085972,0.018
3,500,bag,chalk,makeup,1,-0.21072103131565253,0.81
3,500,bag,makeup,cash,0,-0.8867319296326106,0.588
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,cash,makeup,0,-0.53102833108351,0.412
3,500,bag,makeup,pen,1,-0.04709160753385057,0.954
3,500,bakery,water,sandwiches,0,-0.9571127263944101,0.616
3,500,bakery,water,sandwiches,0,-0.9571127263944101,0.616
3,500,bakery,water,sandwiches,0,-0.9571127263944101,0.616
3,500,bakery,sandwiches,water,0,-0.4845083154486173,0.384
3,500,bakery,water,sandwiches,1,-0.4845083154486173,0.616
3,500,bakery,cakes,sandwiches,0,-0.07904320734045285,0.076
3,500,bakery,water,sandwiches,0,-0.9571127263944101,0.616
3,500,bakery,cakes,water,0,-0.06187540371808753,0.06
3,500,bakery,cakes,water,0,-0.06187540371808753,0.06
3,500,bakery,cakes,sandwiches,1,-2.577021938695806,0.076
3,500,bakery,water,sandwiches,0,-0.9571127263944101,0.616
3,500,bakery,water,cakes,1,-0.06187540371808753,0.94
3,500,bakery,water,sandwiches,1,-0.4845083154486173,0.616
3,500,bakery,water,sandwiches,1,-0.4845083154486173,0.616
3,500,bakery,cakes,sandwiches,0,-0.07904320734045285,0.076
3,500,bakery,water,sandwiches,0,-0.9571127263944101,0.616
3,500,bakery,water,sandwiches,0,-0.9571127263944101,0.616
3,500,bakery,sandwiches,cakes,1,-0.07904320734045285,0.924
3,500,bakery,sandwiches,cakes,1,-0.07904320734045285,0.924
3,500,bakery,sandwiches,water,0,-0.4845083154486173,0.384
3,500,bakery,cakes,water,0,-0.06187540371808753,0.06
3,500,bakery,water,cakes,1,-0.06187540371808753,0.94
3,500,bakery,water,sandwiches,0,-0.9571127263944101,0.616
3,500,bakery,water,sandwiches,0,-0.9571127263944101,0.616
3,500,bakery,sandwiches,water,0,-0.4845083154486173,0.384
3,500,bakery,water,sandwiches,0,-0.9571127263944101,0.616
3,500,bakery,sandwiches,water,0,-0.4845083154486173,0.384
3,500,bakery,water,sandwiches,1,-0.4845083154486173,0.616
3,500,bakery,cakes,water,0,-0.06187540371808753,0.06
3,500,bakery,water,sandwiches,1,-0.4845083154486173,0.616
3,500,bakery,water,sandwiches,1,-0.4845083154486173,0.616
3,500,bakery,water,sandwiches,1,-0.4845083154486173,0.616
3,500,bakery,water,cakes,0,-2.8134107167600355,0.94
3,500,bakery,water,sandwiches,0,-0.9571127263944101,0.616
3,500,bakery,water,sandwiches,1,-0.4845083154486173,0.616
3,500,bakery,cakes,sandwiches,1,-2.577021938695806,0.076
3,500,bakery,sandwiches,water,0,-0.4845083154486173,0.384
3,500,bakery,cakes,water,0,-0.06187540371808753,0.06
3,500,bakery,cakes,sandwiches,0,-0.07904320734045285,0.076
3,500,bakery,sandwiches,cakes,1,-0.07904320734045285,0.924
3,500,bakery,water,sandwiches,1,-0.4845083154486173,0.616
3,500,bakery,water,sandwiches,0,-0.9571127263944101,0.616
3,500,beach,bikini,shorts,0,-4.135166556742355,0.984
3,500,beach,jeans,sunglasses,1,-23.025850929940457,0.0
3,500,beach,coat,jeans,1,0.0,1.0
3,500,beach,coat,jeans,0,-23.025850929940457,1.0
3,500,beach,shorts,jacket,0,0.0,0.0
3,500,beach,shorts,coat,1,-23.025850929940457,0.0
3,500,beach,sunglasses,jacket,1,-1.4784096500276962,0.228
3,500,beach,bikini,shorts,0,-4.135166556742355,0.984
3,500,beach,bikini,sunglasses,0,-0.014098924379501648,0.014
3,500,beach,jacket,jeans,1,0.0,1.0
3,500,beach,shorts,sunglasses,0,0.0,0.0
3,500,beach,shorts,sunglasses,0,0.0,0.0
3,500,beach,shorts,sunglasses,0,0.0,0.0
3,500,beach,coat,jacket,0,-2.0099154790312257,0.866
3,500,beach,bikini,jacket,0,-0.0020020026706730793,0.002
3,500,beach,coat,jeans,0,-23.025850929940457,1.0
3,500,beach,shorts,sunglasses,1,-23.025850929940457,0.0
3,500,beach,sunglasses,shorts,0,-23.025850929940457,1.0
3,500,beach,jacket,jeans,0,-23.025850929940457,1.0
3,500,beach,sunglasses,bikini,1,-0.014098924379501648,0.986
3,500,beach,jacket,shorts,1,0.0,1.0
3,500,beach,jeans,jacket,0,0.0,0.0
3,500,beach,shorts,jeans,0,-0.41551544396166595,0.34
