story,unique_query_n,unique_query_mean,unique_query_median,unique_query_sd,unique_query_ci_low,unique_query_ci_high,unique_query_positive_fraction,pair_n,pair_mean,pair_median,pair_sd,pair_ci_low,pair_ci_high,pair_positive_fraction
throw,6,-4.476991256858067,-5.1568753985688085,3.177568954014577,-7.01957595974076,-1.934406553975374,0.16666666666666666,30,-4.476991256858067,-5.015822410583496,3.061595069713183,-5.572568982188695,-3.3814135315274396,0.16666666666666666
transport,6,-3.9941540449430857,-4.668052807322237,2.6801342773887193,-6.138708109379875,-1.8495999805062961,0.16666666666666666,30,-3.9941540449430857,-4.3455424308776855,2.7895989195263655,-4.992399197959283,-2.995908891926888,0.16666666666666666
mall,6,-3.309799566306174,-3.5188948065042496,1.9497613722323759,-4.869933590477807,-1.7496655421345413,0.0,30,-3.309799566306174,-3.274675242602825,2.5767211735470386,-4.2318673962594,-2.387731736352948,0.1
hot,6,-3.2200953960418697,-2.592674112319946,1.450113116352624,-4.38042754947303,-2.0597632426107095,0.0,30,-3.22009539604187,-3.2277092933654785,2.1685576465989804,-3.9961037836996876,-2.4440870083840527,0.1
mask,6,-3.1276194580908236,-4.06743194758892,2.9899631650070155,-5.520088265392333,-0.7351506507893144,0.16666666666666666,30,-3.1276194580908245,-3.268606185913086,2.9285267286225314,-4.175579289112759,-2.079659627068889,0.26666666666666666
beach,6,-2.5655979553858437,-2.2889871120452883,1.400574356328779,-3.6862908451977923,-1.4449050655738949,0.0,30,-2.565597955385844,-2.3929386138916016,1.4608858707164218,-3.088369250336058,-2.0428266604356304,0.03333333333333333
cold,6,-2.1999015410741176,-2.9851180076599126,3.29030564143045,-4.832694381380586,0.43289129923235015,0.3333333333333333,30,-2.199901541074117,-2.553767681121826,3.3476604239242613,-3.397846438720525,-1.001956643427709,0.2
cut,6,-1.795841375096158,-2.1029312299564484,1.369550085184414,-2.891709677819261,-0.6999730723730548,0.16666666666666666,30,-1.7958413750961577,-1.6000529946759343,1.6770140348238989,-2.3959531402983494,-1.195729609893966,0.13333333333333333
gym,6,-0.623376614173564,-0.7095498412847523,0.8717628840076695,-1.320932200062081,0.0741789717149528,0.3333333333333333,30,-0.6233766141735638,-0.4601273281732574,1.4861875426668083,-1.1552019961507285,-0.09155123219639927,0.36666666666666664
meat,6,-0.36245800654093424,-0.0854031085968019,0.7865460053715725,-0.9918258881866191,0.26690987510475056,0.5,30,-0.36245800654093424,-0.1700000762939453,1.074457950831347,-0.7469478462915231,0.022031833209654628,0.43333333333333335
science,6,-0.289155211536369,-0.6297938050352969,1.4545009570753542,-1.4529983687763384,0.8746879457036005,0.16666666666666666,30,-0.289155211536369,-0.7452054056338966,1.7055794623204559,-0.8994889836882605,0.32117856061552247,0.4
bakery,6,0.16366946419196524,0.1781577909365297,1.2756499251482531,-0.857063062105408,1.1844019904893384,0.6666666666666666,30,0.16366946419196512,-0.014542519114911556,1.5310878471220026,-0.38422328538331973,0.71156221376725,0.5
bag,6,0.4741398930006351,0.475285732583143,1.19757620891088,-0.4841206493759641,1.4324004353772342,0.8333333333333334,30,0.474139893000635,0.965437650680542,2.066480189392335,-0.26534054571961513,1.2136203317208851,0.6
restaurant,6,1.1262971818447112,1.2320723533630369,1.8551783840172618,-0.3581546895651848,2.610749053254607,0.6666666666666666,30,1.1262971818447114,0.7133708000183105,2.9791896841635386,0.06020784501737775,2.192386518672045,0.6333333333333333
salad,6,1.414182182153066,1.5352280616760252,1.1701668486228731,0.4778536957578291,2.350510668548303,0.8333333333333334,30,1.414182182153066,1.2757694721221924,1.4409472969863588,0.89854581417919,1.929818550126942,0.8333333333333334
fridge,6,2.3095687935749694,2.0983999252319343,0.6112616067380536,1.8204576418600404,2.7986799452898983,1.0,30,2.309568793574969,2.1965460777282715,0.9635997662765928,1.9647490456893237,2.654388541460614,1.0
