analysis_level,context,score_scale,x_col,y_col,method,n,x_unique,y_unique,correlation,p_value,undefined_reason
pair,ALL,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,480,95,477,0.7094519056884228,1.1805736739845224e-74,
pair,ALL,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,480,95,477,0.7214662825075276,2.561463948781794e-78,
pair,bag,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,30,0.8252008678622129,2.0196263834899255e-08,
pair,bag,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,30,0.7385117808168075,3.1737490314589676e-06,
pair,bakery,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,30,0.7998529557624078,1.1372546170575938e-07,
pair,bakery,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,30,0.7542967654449528,1.478256406696496e-06,
pair,beach,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,29,0.8287491213461559,1.551298906874845e-08,
pair,beach,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,29,0.842335381941432,5.329551917047448e-09,
pair,cold,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,30,0.4367205581475022,0.01582448397101082,
pair,cold,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,30,0.4205570904498766,0.020662534513000652,
pair,cut,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,30,0.9018102585094225,1.031260173653288e-11,
pair,cut,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,30,0.900871622706304,1.1711955251013183e-11,
pair,fridge,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,30,0.9735681175750232,1.6929632209740993e-19,
pair,fridge,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,30,0.9211666029424912,5.388286570278601e-13,
pair,gym,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,30,0.8871899665769073,6.56020716078615e-11,
pair,gym,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,30,0.8738116490580545,2.891470079076342e-10,
pair,hot,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,5,30,0.6700392210256161,5.113315577114213e-05,
pair,hot,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,5,30,0.7138307970781959,9.465431758854789e-06,
pair,mall,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,30,0.7268487892329021,5.396493327186049e-06,
pair,mall,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,30,0.7362567830127866,3.524298213352383e-06,
pair,mask,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,29,0.27245290209724526,0.145227603469471,
pair,mask,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,29,0.3157348151855434,0.0891955106129901,
pair,meat,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,29,0.848689354111619,3.1227767637996292e-09,
pair,meat,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,29,0.8468458793012253,3.655656795833041e-09,
pair,restaurant,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,30,0.31308624515338757,0.09205966812846311,
pair,restaurant,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,30,0.3055522024448165,0.10058897351020701,
pair,salad,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,30,0.9127505915379936,2.1143042688050275e-12,
pair,salad,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,30,0.9031266205103248,8.608521002467132e-12,
pair,science,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,30,0.7655326286279945,8.283546011567579e-07,
pair,science,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,30,0.711451807168558,1.0454766662859814e-05,
pair,throw,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,30,0.6321561724636947,0.00017863200591948834,
pair,throw,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,30,0.44085207068606364,0.014751934137878668,
pair,transport,sum_logprob,base_logprob_sum,but_not_logprob_sum,pearson,30,6,30,0.7719354719334788,5.869941600204769e-07,
pair,transport,sum_logprob,base_logprob_sum,but_not_logprob_sum,spearman,30,6,30,0.797141723721348,1.3484477775635595e-07,
pair,ALL,mean_logprob_per_token,base_logprob_mean,but_not_logprob_mean,pearson,480,95,477,0.7652914076203245,1.671414137603602e-93,
pair,ALL,mean_logprob_per_token,base_logprob_mean,but_not_logprob_mean,spearman,480,95,477,0.7677128134036837,1.9391279391207637e-94,
pair,bag,mean_logprob_per_token,base_logprob_mean,but_not_logprob_mean,pearson,30,6,30,0.8991860464416496,1.4672406214672503e-11,
pair,bag,mean_logprob_per_token,base_logprob_mean,but_not_logprob_mean,spearman,30,6,30,0.8332216885856805,1.1028491356084383e-08,
pair,bakery,mean_logprob_per_token,base_logprob_mean,but_not_logprob_mean,pearson,30,6,30,0.9310433752382655,8.799716199084465e-14,
pair,bakery,mean_logprob_per_token,base_logprob_mean,but_not_logprob_mean,spearman,30,6,30,0.9053816183143455,6.279511327769604e-12,
pair,beach,mean_logprob_per_token,base_logprob_mean,but_not_logprob_mean,pearson,30,6,29,0.8287491213461559,1.551298906874845e-08,
