story,query,n_triggers,triggers,base_logprob_sum,base_logprob_mean,base_query_token_count,mean_but_not_logprob_sum,median_but_not_logprob_sum,sd_but_not_logprob_sum,min_but_not_logprob_sum,max_but_not_logprob_sum,mean_but_not_logprob_mean,median_but_not_logprob_mean,sd_but_not_logprob_mean,min_but_not_logprob_mean,max_but_not_logprob_mean,mean_delta_logprob_sum,mean_delta_logprob_mean
bag,chalk,5,"cash,crayons,headphones,makeup,pen",-10.577948570251465,-10.577948570251465,1,-8.532187938690186,-7.799445152282715,2.0833494219130833,-12.006531715393066,-6.8415913581848145,-8.532187938690186,-7.799445152282715,2.0833494219130833,-12.006531715393066,-6.8415913581848145,2.0457606315612793,2.0457606315612793
bag,crayons,5,"cash,chalk,headphones,makeup,pen",-8.648859080858529,-4.324429540429264,2,-8.249926600372419,-7.563885705545545,3.158484855556322,-13.243098497390747,-5.342557951807976,-4.124963300186209,-3.7819428527727723,1.579242427778161,-6.6215492486953735,-2.671278975903988,0.39893248048610985,0.19946624024305493
bag,headphones,5,"cash,chalk,crayons,makeup,pen",-13.077948570251465,-13.077948570251465,1,-12.526309585571289,-11.904091835021973,1.3965664430760456,-14.725281715393066,-11.393195152282715,-12.526309585571289,-11.904091835021973,1.3965664430760456,-14.725281715393066,-11.393195152282715,0.5516389846801761,0.5516389846801761
bag,makeup,5,"cash,chalk,crayons,headphones,pen",-10.890448570251465,-10.890448570251465,1,-12.37283763885498,-11.951130867004395,1.5014388417147928,-14.819031715393066,-10.893195152282715,-12.37283763885498,-11.951130867004395,1.5014388417147928,-14.819031715393066,-10.893195152282715,-1.4823890686035153,-1.4823890686035153
bag,pen,5,"cash,chalk,crayons,headphones,makeup",-3.952948808670044,-3.952948808670044,1,-3.915229320526123,-3.2011311054229736,1.7906087214989725,-6.796738624572754,-2.236945152282715,-3.915229320526123,-3.2011311054229736,1.7906087214989725,-6.796738624572754,-2.236945152282715,0.0377194881439209,0.0377194881439209
bag,cash,5,"chalk,crayons,headphones,makeup,pen",-13.577948570251465,-13.577948570251465,1,-12.284771728515626,-12.234238624572754,0.518575393749834,-12.919716835021973,-11.624740600585938,-12.284771728515626,-12.234238624572754,0.518575393749834,-12.919716835021973,-11.624740600585938,1.2931768417358391,1.2931768417358391
bakery,ice cream,5,"cakes,muffins,pretzels,sandwiches,water",-3.854298908263445,-1.9271494541317225,2,-3.8141876626759768,-3.7784051466733217,0.7077623073483189,-4.651792865246534,-2.8357967883348465,-1.9070938313379884,-1.8892025733366609,0.35388115367415945,-2.325896432623267,-1.4178983941674232,0.04011124558746815,0.020055622793734074
bakery,muffins,5,"cakes,ice cream,pretzels,sandwiches,water",-5.710582541534677,-2.8552912707673386,2,-5.394378205249086,-5.288364424370229,1.5393084686444074,-7.021367061883211,-3.414546250598505,-2.697189102624543,-2.6441822121851146,0.7696542343222037,-3.5106835309416056,-1.7072731252992526,0.3162043362855913,0.15810216814279565
bakery,pretzels,5,"cakes,ice cream,muffins,sandwiches,water",-7.6705989303591195,-2.5568663101197067,3,-9.245795563765569,-9.331163136230316,0.8920554428596236,-10.340587543556467,-8.15776416065637,-3.0819318545885226,-3.110387712076772,0.29735181428654106,-3.446862514518822,-2.7192547202187902,-1.575196633406449,-0.5250655444688159
bakery,sandwiches,5,"cakes,ice cream,muffins,pretzels,water",-9.207971572875977,-9.207971572875977,1,-6.930596923828125,-7.210720539093018,0.9777440695693637,-7.940178394317627,-5.62545108795166,-6.930596923828125,-7.210720539093018,0.9777440695693637,-7.940178394317627,-5.62545108795166,2.277374649047852,2.277374649047852
